"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"OTlraXFlM29wcmFudjpjdDF2ZWp2aDRnZHEx","1304800012262013",20.131524,-98.773119,"1304800012135009",20.126545,-98.76106,"2023-06-06T16:14:59",449,17.36
"OHVkY2MwZmt1bjMzNzozYmE3M3Zxa2d0YQ==","130520023",20.131009,-98.869936,"130520023",20.132768,-98.878047,"2023-06-05T14:06:48",214,61.88
"NWd0N2dtM20xcWkzcjo0Z2RxZW5uM3FiYW02","1302300120055015",20.24452,-99.034131,"1302300120055007",20.246751,-99.030397,"2023-06-05T16:15:18",142,34.84
"ZWYwaWY0NnVybGI3ODpmdmo2bXVhMTVydjls","1300300010283031",20.264647,-98.937399,"1300300010211015",20.265334,-98.945982,"2023-06-30T15:40",814,23.06
"YjRpZ2cxNGx1NDBlZzpjNG5vY2VoMDA5Nzlt","1305200010273032",20.100968,-98.88118,"1305200010273032",20.101011,-98.881266,"2023-06-02T12:46:01",593,32.56
"NzlhZzM0OWp2NHN0YjoxZms4cm1scW52cDdk","1302800010583007",21.146772,-98.426321,"1302800010545014",21.143811,-98.42572,"2023-06-08T13:04:44",116,82.62
"N3RjZ2RzdTYwMmFscDoyZTk1Mzd0Y2E0M2cy","1307400010162019",20.088995,-99.221842,"130100339",20.06552,-99.220512,"2023-06-09T14:16:16",716,59.94
"Y2c2bTNha212Mm00bzptY21pc3NtbjZ2bjI=","130510100133A031",20.085604,-98.699691,"1305100201170004",20.101011,-98.717802,"2023-06-21T12:45:01",571,66.56
"Y2FrMmpsaGtlc3ZhOjI4bXRxdXJyZjc5cGc=","1306100010677013",19.782794,-98.558328,"130610037",19.777601,-98.53687,"2023-06-12T16:04:17",648,17.24
"ZjRxZWZyb3RrZzNrbTpkbDdyMHV1bmdlY2Vu","1304800012154019",20.127661,-98.751104,"1304800011118019",20.12367,-98.775136,"2023-06-15T12:50:52",734,9.98
"MnB2ZG9qcTJqb21hMToyOGlhbG5yZGM4c2tk","130300030",20.494931,-99.168284,"130300026",20.500381,-99.181631,"2023-06-02T13:09:53",458,19.14
"NzY0dWNjODRnMDBsczo2Ym0xMmJiN2Jzbjgy","130070001009A009",19.703529,-98.402245,"130070001009A019",19.703443,-98.408082,"2023-06-13T15:54:18",174,99.66
"MTM1bDRpMGZycW12azo3b3VmNThrZTVzc3B0","1304800010779002",20.085733,-98.75561,"1304800010764045",20.097964,-98.777926,"2023-06-08T13:17:04",852,16.92
"ZDhpNTNiMWE5cnJmZzphbHU1bTRrZWlvcjlx","130030090",20.220745,-98.957441,"130030090",20.209372,-98.956068,"2023-06-21T12:03:54",557,19.03
"M2FjYXQwYTg1YTR0NzoyaHNxZzNtYWVwZHZh","1306900010232037",19.838712,-98.965681,"1306900190410001",19.840043,-98.949544,"2023-06-05T15:59:04",502,17.05
"MnNxbzF1bGl0NXZ1aDo2bmU3aXVoMm1tOW9p","1306100010573019",19.790347,-98.5479,"1306100010357037",19.783309,-98.560131,"2023-06-13T14:51:26",379,26.76
"OGxibGRvMWk4NTM4NjpicjhuZzRzMDJsNmpr","1306300010309005",19.901969,-99.336212,"1306300010277020",19.906175,-99.340632,"2023-06-16T16:19:53",220,58.51
"MzJtcHJqcmsyb2U4Yzo3MDlvYjVlOXQzb3Fl","1304800012135004",20.130837,-98.758314,"1304800010158015",20.123327,-98.731663,"2023-06-26T15:36:25",790,52.22
"NDg0aTllODZiNGU2NzpiYXF1NXM5dGxzcG9m","130280051",21.111238,-98.421299,"1302800010314025",21.132267,-98.418081,"2023-06-26T16:53:40",678,104.75
"MmVnczkzdWtiY2ZrOmNnaGJzNjlsMDlmcHA=","130770001022A002",20.094144,-98.363578,"1307700010696003",20.08466,-98.367698,"2023-06-13T12:42:38",384,17.66
"ZDU3OW5kaW85YmJuZTo2ZjNkMjkxcDRpbTlv","1300800010063009",19.710739,-98.447478,"1300800010152023",19.704645,-98.452156,"2023-06-19T15:39:33",229,52.14
"Y3JvYWNkbXJwcmcwNzo4dXQ5cGFtaTI4ZDJj","1302800010263018",21.13909,-98.41439,"1302800010259006",21.14424,-98.416278,"2023-06-26T12:01:21",212,39.12
"Mms2YjdkMDFuNHVlaDphM25tdmI5YzByNm9r","130640003001A017",20.155299,-99.347627,"1306700100539006",20.173624,-99.337413,"2023-06-20T15:17:44",631,159.67
"MWxiNG9mbGdpcDdwZjo4cHNkcHE4MnRmOWJt","130250011",21.047337,-98.271482,"130250026",21.038239,-98.28337,"2023-06-20T16:41:35",378,18.57
"aWk0amtraDRsZTR0OjUwZ3YwbTNpdDA4bjc=","130690016",19.869268,-98.957398,"1306900440887031",19.875405,-98.95787,"2023-06-26T16:05:42",328,45.98
"ODJtNHRvYzlpYXUzbTo2djZsNTQ2MnNlZGx2","1306900010980022",19.862273,-98.974006,"130690016",19.870641,-98.957655,"2023-06-28T15:53:30",854,21.8
"ZDQ1YnZuODlqcHVldjoxdTZnM2xrOHY4dTlk","130230017",20.235851,-99.084513,"130230017",20.258725,-99.092925,"2023-06-19T12:32:26",754,18.07
"YjQ4NW11ZmRlNTdtYzozNTRndmJha3BxMDBm","1301600290277023",20.039384,-98.2953,"130160205",20.042045,-98.304913,"2023-06-22T13:28:13",402,19.31
"NHJyMzJ1ZnBqaHRrZDozMHJncmJsZnNoaWVn","130690016",19.879911,-98.941605,"1306900440707011",19.873559,-98.964951,"2023-06-09T16:55:05",710,16.4
"Ym9wamwwbXAyZzk4Nzo0bDJkbmpmcHRnOGFn","1304800010247031",20.115044,-98.737586,"1304800012351020",20.095046,-98.752091,"2023-06-02T14:52:54",764,17.24
"MmdlMGx0cHVvOXN0cjozazZsNDE4MWhobzAw","1302800010329036",21.134155,-98.412116,"1302800010263033",21.1357,-98.413146,"2023-06-26T12:36:34",383,104.75
"ZXAwbXNvOWFtNmdmNzo5ZHZrOTBpMzFsY3Bh","1300300010283017",20.264132,-98.942978,"130090018",20.259583,-98.916714,"2023-06-02T15:16:58",639,39.24
"OTlobDBhYnUwOHM5dDphZnJmNXM2aXAwN3J2","1307700010681028",20.093329,-98.36684,"130770001022A031",20.10011,-98.366024,"2023-06-20T13:01:24",166,18.57
