"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"ZTQ5Z2IyOGRnN2hrMjo0NW5ubDJha2JsYWQx","130590043",20.54909,-99.68683,"130590043",20.56102,-99.692452,"2023-06-07T20:24:50",323,54.81
"NDE4cWRlcWwyNXI0Nzo2NGZya2E2NGFzZm1i","1306700050473009",20.168002,-99.284198,"1306700050488008",20.158904,-99.272397,"2023-06-15T19:16:46",397,56.13
"NW1jN3Y4anNiMzlmcTpiNWVnYTJycW1zN2kz","1305101381880003",20.056722,-98.75428,"1305100901274011",20.078995,-98.745267,"2023-06-30T20:18:22",908,23.06
"M3JmdHFtYmg5aDNzcjplc2EybzI2cGs5Zm41","130500029",20.282414,-99.186308,"1305000030118035",20.29074,-99.186909,"2023-06-08T20:22:41",276,16.92
"M2IyYXJ1MHR1ajVqMzphcWo4ZXV1cDhramw0","130630012",19.976342,-99.436162,"130630012",19.960721,-99.418223,"2023-06-06T18:40:21",728,17.36
"bTM4c25yMjdqaHJjOmU2NzJwbTluOHZ1bWc=","130510099172A024",20.052946,-98.762348,"1305100961700031",20.057323,-98.772733,"2023-06-27T18:38:33",304,30.19
"OTlzMWIxcW5zcTZlazppNmtrODZkbjR1OTM=","1307400020092020",20.085433,-99.24257,"1307400010054007",20.099595,-99.219182,"2023-06-28T17:10:15",741,131.69
"Ym5taDRzZXFyOGE5bjpzcTk3YWEzbXM5anY=","130770164",20.091956,-98.38156,"1307700010573013",20.094788,-98.367913,"2023-06-02T17:10:01",525,19.14
"Y2lhYWV0MnBkYWQ4Njpmc2RoN3Q0N281ZTJo","1301000080288014",20.03638,-99.236476,"130100324",20.03505,-99.254544,"2023-06-14T17:47:45",671,92.38
"NnBuN2dtdGwxZjVuNTpkZDVocThkOWFkNzFh","130510577",20.050843,-98.74059,"130510577",20.051229,-98.71218,"2023-06-28T18:57:26",1084,19.61
"M3I4MmNycTBmMzg1Nzo1M2Eyc2MwNTBiYzA3","1303000010204037",20.480425,-99.221971,"1303000010242042",20.491369,-99.213173,"2023-06-06T20:45:25",403,69.34
"ZXBscmhyYTMybzhsdjpiYmFoanNlbXU2ZDE5","130770001008A031",20.080411,-98.365982,"1307700010535038",20.104916,-98.360531,"2023-06-27T18:18:08",725,140.44
"ZGFsYXJnajM1MjNucDo0OHFpbzM4cnZpdnE0","1304800010976029",20.112169,-98.751233,"1304800010177014",20.110495,-98.749645,"2023-06-01T18:27:33",421,62.44
"NDB2MmFmamJ1ZnVkMTo1Mjc2aXVhcXA0aTdj","1305100121132023",20.120366,-98.701279,"1305100121132023",20.120366,-98.701236,"2023-06-15T20:26:42",474,61.74
"NWM2dGFpcjBuamIyODo4NXNtM2U5bjJiZHNn","1305700010072028",19.970677,-98.52318,"1305700010087034",19.968703,-98.521378,"2023-06-22T18:30:11",78,110.03
"N3JzYmFnYmhxZ3RmZDphdDR0c3Q3Z2xmNzlr","130770145",20.142467,-98.344009,"130770145",20.134914,-98.338687,"2023-06-21T20:58:21",260,25.74
"NWcxcGNrMTVlNTZhdjo3aGhnbG5nYjlncWN2","130670030",20.128176,-99.243042,"130670030",20.129464,-99.245961,"2023-06-13T17:53:16",274,72.83
"ZnM0dGFhMmtuZzExYzo3ZGVqNWlxNGhxa2Jq","130830034",19.899738,-98.60841,"130830034",19.881842,-98.599398,"2023-06-30T18:58:21",886,23.06
"NGJpZDVxOTg3NW84bzo0c2tsazIyOTBnYmFw","1306100020126019",19.756958,-98.592703,"1306100020465002",19.766657,-98.580601,"2023-06-14T18:00:47",627,14.53
"Y2VkZGptc3JpM2oyOmExbml2b2cza2Y2dGQ=","130480001196A089",20.09968,-98.785136,"1304800011550027",20.097578,-98.767455,"2023-06-08T18:15:43",522,35.07
"OTQwOXNxMG9pcTJ2YToxaXIycmY3amR1NnBq","1306600010048042",19.887636,-98.816721,"1306600010048021",19.886949,-98.812644,"2023-06-30T18:03:13",321,102.91
"OHZibW1uNG9uNGhucjoyZnBucGNtNGc2ZzI4","1307600010449016",20.050671,-99.350932,"1307600010449032",20.050628,-99.351189,"2023-06-21T18:30:36",946,37.75
"NTNldDJjazc2NWlmazpiM2ZvZ3BjNWc4anBu","1306300010328005",19.92038,-99.344108,"1306300010116037",19.924757,-99.351876,"2023-06-07T20:51:21",258,113.66
"ZnR1bDk0OTRpdGlwYjphN200ZXQxMWUyYnJt","130660014",19.89094,-98.834918,"1306600010048045",19.887078,-98.815949,"2023-06-02T18:23:57",530,73.51
"NWI5MGZlY2c1YW1hczoya2RtbHBwNTE0ZDVi","1304600010276012",21.172736,-98.600471,"1304600010327002",21.167843,-98.604848,"2023-06-21T19:34:03",229,100.1
"Y2ExNTFqZDVkanY5bzo4aGllOGpudDcxcmM3","1302900120078040",20.358202,-99.676101,"1302900240237017",20.342152,-99.667389,"2023-06-01T18:39:15",800,124.93
"NDF2aGM0YTE0bDI1ZDozbGNscGgyc2cwbmZo","1304800010622042",20.06067,-98.77548,"1304800011156065",20.054362,-98.783934,"2023-06-20T17:16:44",366,10.14
"ZTgwbWlpNzVwZGhsNTo3MnFqYWRxOTRhMGY2","1303000010223001",20.477293,-99.217379,"13030005A",20.471284,-99.207723,"2023-06-28T17:09:28",349,62.51
"OHYzMDBrNzdnZGtnZzphc2hxNDU1ZzhoZjJ1","1304800011546028",20.115774,-98.716342,"1305100291202016",20.108907,-98.706086,"2023-06-23T17:56:10",381,7.67
"Y2ExNTFqZDVkanY5bzo4aGllOGpudDcxcmM3","1302900120078040",20.358202,-99.676101,"1302900240237017",20.342152,-99.667389,"2023-06-16T18:43:15",800,124.93
"M3ZkMnFmcjAyOXVyNzo1dmdsaWgwY3F0bTU3","1306100020662022",19.756658,-98.571246,"1306100020662022",19.756658,-98.571332,"2023-06-08T19:22:45",679,154.37
"YXAzbGp2M2l0YzdkdTpiZTg3dXJkZTZiMGc3","1304800010548002",20.074532,-98.782303,"1304800010529025",20.087192,-98.76385,"2023-06-01T18:26:22",809,15.14
"MmRscm12aTRndmFrbDplaTI1MG1xOWFqbWVu","1307700031209012",20.08054,-98.418896,"130770164",20.065606,-98.438509,"2023-06-19T17:38:12",823,53.84
"ZDNpaDhicGlibXI2Yzo5bWxjNmZrZTdpdGdo","1304800010976010",20.112855,-98.752348,"1304800010938015",20.122168,-98.757799,"2023-06-22T18:42:47",314,19.31
"OTUzcXM1NmVjMjZudDo3c3Q1ZTA0czVjOWE1","130482671",20.037239,-98.779256,"1304800012385019",20.052903,-98.788097,"2023-06-23T20:05:34",502,19.16
"ODVqOHE1a2xibTUwZjozZnFhaWFxN202dXFx","1304800012756002",20.057151,-98.778441,"1305101261823009",20.064962,-98.762906,"2023-06-22T18:19:34",430,28.27
"M21pY2h1OXMyMDlubjphNHRkb3VjbHNwMmF2","1306300010277011",19.907677,-99.341619,"1306300010328051",19.91935,-99.339087,"2023-06-28T17:21:52",416,77.31
"OW9pcTdpam5rZmpxcToxMGkwMGI1bnRxdDRx","130510577",20.054018,-98.743637,"1305101221791003",20.054061,-98.76282,"2023-06-27T19:01:24",646,21.88
"Y3N2MHNzcTYxYzBtZToxdWs3a282cHJkb29z","130230017",20.223963,-99.127686,"130230017",20.223877,-99.127643,"2023-06-23T20:15:21",584,19.16
"NzlxcHI3MGppYjE3ZDo4czVrMGxyN3Nwazlv","1307500010189008",19.947374,-98.910148,"130750013",19.937589,-98.896115,"2023-06-12T20:53:46",1705,81.63
"NHBpNHF2YnFqdG9iYzo3aGJlcjU1M3U3MzVy","1306100020431022",19.779403,-98.578885,"1306100020662020",19.758718,-98.574679,"2023-06-15T19:43:25",728,90.88
"OGE0a3A0azRnYm8zdDphZWZnZ2M5NmJza20y","130840001021A015",20.743411,-99.379771,"1308400010224030",20.739763,-99.376981,"2023-06-19T18:31:12",200,25.72
"NXJqMzVoaXNnOGs5OmFiZHVlcHJyNTQyNmI=","1305101471645027",20.106161,-98.724153,"1305101471630017",20.104229,-98.720891,"2023-06-26T20:08:09",104,40.4
"OHVkOThvbGQxYWgzbzpjdWxmcG52anBsMTYw","1306900010177031",19.850256,-98.968556,"130690016",19.846694,-98.951261,"2023-06-05T20:28:47",708,17.05
"Nmw3MzlybDUwMnV2czozdWZudDdkcGFwbDl2","1305800010065015",20.551407,-99.312007,"130580031",20.5457,-99.287331,"2023-06-08T18:04:02",643,16.92
"MmZiNWo0bHFoZHZhazplczdnZWlmY3Bob3Nv","130020040",20.151823,-98.197839,"1300200450017002",20.14118,-98.205049,"2023-06-20T17:02:39",502,154.18
"MmgwM2pzZzBxazZzazozMmh2MTc0c2prNm1z","1304800010478001",20.120795,-98.77651,"1304800010942005",20.118434,-98.758142,"2023-06-07T19:20:16",567,38.27
"YnN0Z3NtdWduNWR2MTpia3RlcXFma2dkc2hi","1303000010083019",20.497463,-99.21519,"1303000010083034",20.499308,-99.218109,"2023-06-26T18:31:15",130,50.41
"M3MzNms5dWxzNGQ2dDoxdWsyNDZlcTU2bjFh","1304800011122008",20.114701,-98.770759,"1304800010976010",20.111139,-98.752477,"2023-06-15T18:15",611,25.85
"MnM3cHRpODUxaDJrdToxbDA3MmFqcGRmZnYw","1303000010204007",20.48476,-99.218838,"1303000010204001",20.484717,-99.218795,"2023-06-29T20:40:44",568,22.49
"M3ZhYm80cXRmanI4bzo1Z2JscW5tZDlqdnIx","1305300010088008",20.400002,-98.200629,"13053004A",20.391891,-98.203075,"2023-06-30T19:21:16",257,159.11
"ZXFnZmNkbm82aTEwdDplMnBsZ3VqMGdxZWp1","1301300130203008",19.992778,-99.195664,"1301300010148014",20.004537,-99.220769,"2023-06-29T20:42:37",663,32.11
"amFyNnFraTRrNGliOmJlYnZybDBkdnFwa2c=","1306600010141002",19.886305,-98.805993,"130660014",19.880683,-98.794019,"2023-06-13T19:31",526,63.56
"YzR1NzQ5ZGk4czFnajoya2hodmxrbWliZ2lq","1306300010084021",19.889781,-99.342306,"1306300210648004",19.900768,-99.367669,"2023-06-26T19:46:14",907,20.04
"Ymt1dWV0M2JocWlmMjpkNW9nZXF1N3QyNHBn","1303000480420003",20.450771,-99.168026,"1303000480420003",20.451629,-99.167898,"2023-06-06T20:54:53",328,47.53
"ZW10djhkazJhcW44YTozMG5iNHFmamsybGlw","130690016",19.860728,-98.907745,"130690016",19.855878,-98.926241,"2023-06-30T20:34:12",742,23.06
"NGlsYXI0dDdlcmxiMTo4djB0aWJyaXB2amRl","130120066",20.273745,-98.652313,"130120001",20.288551,-98.669565,"2023-06-05T18:57:23",606,46.85
"ZGd0YjF1cWJ1Zmk1dDo1cmc1MGNtcm1nM283","1306300010328031",19.916174,-99.34222,"1306300010633030",19.89712,-99.331276,"2023-06-01T19:57:27",641,21.23
"MWliNjU3bTE3Zjlobzpja2xqa2l2aWZybGp1","1307700010499007",20.086377,-98.377483,"130770001022A002",20.094874,-98.363707,"2023-06-05T20:46:38",519,32.24
"MXJvYWUxdmZsZ3JldDpiaXMxMTBtamRxajEx","130770164",20.099723,-98.396323,"130770164",20.096505,-98.391473,"2023-06-30T20:58:57",130,23.06
"OTZ0ZDhyMDc0MzRzbTo1YmtsaXNnZmVoYzcw","130120066",20.292671,-98.651927,"130120001",20.287564,-98.668835,"2023-06-23T17:55:45",748,19.25
"OHI1cjhvNGV1dGYwdToyZnRhZWxqMHE0MzNj","130690016",19.870298,-98.96096,"130690016",19.870298,-98.960917,"2023-06-30T19:25:18",564,23.06
"NmZoNXBpY3EyNDQ4OTo1Z3FrM2tydGNhZ2lp","1304800012370016",20.073802,-98.771574,"1305101411895007",20.060756,-98.767755,"2023-06-21T19:45:46",363,19.03
"NHVqbjFzY3Y0cXBvZzo0ZGhqNmtkM2RvOHFz","1307700011001017",20.067708,-98.340619,"1307700010022029",20.090282,-98.355553,"2023-06-07T17:42:43",800,61.1
"YnRxdDRkZTQ5N2dldjo5YXB0bWZyOGliYjB2","1307600080684001",20.054018,-99.317286,"1307600010379014",20.05861,-99.340718,"2023-06-02T20:29:32",807,141.7
"YXEzcmljcWFmbnVmaTpiYnRhNmtzN3A1c2hz","1301600010050026",20.038097,-98.315084,"1301600010050004",20.03711,-98.312981,"2023-06-21T18:30:16",80,46.73
"bzd0ZHVqcTNsMGwyOmZiNDJhNGxxbDdwMDU=","1302900840078005",20.381892,-99.659879,"1302900840078014",20.38451,-99.661167,"2023-06-06T17:11:18",164,17.36
"N3MwajBnYzRoa3E0cjo3bmdpOXNjZDQ0Nm85","130160046",19.966857,-98.30869,"130160031",19.959347,-98.32577,"2023-06-20T20:51:29",931,23.64
"Y2RiazA5cG52amFpdDpicTVnMzVyOTdyazVh","130290063",20.290868,-99.787252,"1302900160063021",20.298851,-99.763134,"2023-06-05T18:19:39",874,17.05
"NHJyMmZwdmRtOHVnZTphbm5vZjY1anV2bnF0","1306700050473009",20.168345,-99.284971,"1306700050488032",20.165298,-99.286001,"2023-06-21T17:41:05",107,159.56
"YTc1NmNkYzJmdGRhOTphczM2c21maXJmNGtq","13056015A",20.052946,-98.458421,"130770164",20.055006,-98.457692,"2023-06-15T18:50:18",184,35.79
"OXAzdDZ0M2Q3bzAwYzpjMnN1amRvaGZ0cjJk","1306900440711027",19.875362,-98.967311,"1306900440887025",19.876349,-98.957355,"2023-06-06T18:23:06",308,17.36
"N3Ixc2ptYzlucTJ0djo2c2NiaGQwNGZ2cWdi","1304800012402015",20.116417,-98.745825,"1304800010054013",20.127189,-98.742135,"2023-06-19T17:13:57",409,29.74
"Y2ExNTFqZDVkanY5bzo4aGllOGpudDcxcmM3","1302900120078040",20.358202,-99.676101,"1302900240237017",20.342152,-99.667389,"2023-06-02T18:40:15",800,124.93
"NWhzaTM4ZGU0ZWhkZjo3ODIxZGwxaXNtY3Z0","130350018",20.281556,-98.348472,"130350018",20.280097,-98.352249,"2023-06-27T17:05:08",163,21.88
"NTE0a2hrczBwYXJrbjpiMG5tY2ptbDJlbm1u","130020001013A016",20.157616,-98.202775,"130020040",20.145085,-98.192132,"2023-06-20T19:45:03",445,112.19
"Y201NHRkbWdxc2k1OTplOHNwNmc1ZWozMXY5","1304800011565012",20.093629,-98.777282,"1304800010548006",20.089295,-98.77548,"2023-06-22T19:19:07",145,19.31
"NnEzYjFhZ2FhZjRxcjpkN2ZjcThrYWo3MDVh","1304800011531016",20.119979,-98.722136,"1304800012737005",20.106418,-98.726556,"2023-06-13T20:52:21",548,55.88
"MXIyM3U1dmdjMDNzczo4anI3YnYzaWRoM283","130120066",20.263531,-98.64167,"130120066",20.278423,-98.63549,"2023-06-22T19:13:48",662,19.31
"YWU2dHJybzMyNGxhMzo3dW5uMXNwNnNzZnNo","1304800012328020",20.105045,-98.746984,"1304800010919034",20.123928,-98.767154,"2023-06-13T17:39:13",937,22.96
