"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NTE3cDVxZG5waWVyOjZsOXEwYmNlaTQxb3M=","1301600010065005",20.03402,-98.310449,"1301600390328009",20.022604,-98.317015,"2023-06-08T19:44:50",347,103.76
"Zm9tN3EwY2JpNmpkYToxYWxpOGlzbXRjZWZr","130840001021A017",20.740149,-99.383204,"1308400010277036",20.752208,-99.384577,"2023-06-15T17:53:23",226,104.57
"Njc5YWlnZGExc2kyNjo0NzYyYWNuZHNsMnNs","130480020",20.075004,-98.795049,"1304800011423006",20.055263,-98.780115,"2023-06-21T19:54:22",188,25.87
"OXV1YzhnN3RncTAzdTphY2xuc2w2OWk5ZTc1","1308200030338008",19.991963,-98.865731,"1308200020272016",20.030758,-98.836462,"2023-06-01T17:53:35",551,96.4
"Y21tMmQyOTVlZ3NwZjo2dTkxMjZjMTlldmpz","1307600080684021",20.058739,-99.314067,"1304800010764024",20.11071,-98.77548,"2023-06-14T18:40:51",4738,70.45
"Y2JxYXJ1MGlldDBqZTpidXZmaWZtb3FqOTVq","130820022",20.009301,-98.822,"1305100631240027",20.075691,-98.730419,"2023-06-08T17:39:50",935,22.99
"NzVidmhyN2tjMDJtMTo4cThkM2w3bTJicDQ=","1304800010196006",20.121439,-98.740675,"1304800010285006",20.132167,-98.746126,"2023-06-27T17:16",260,13.34
"ZDBnMDdmMm4xNmFobjpmNDdzMmxsYWM0MGJ0","130760025",20.084231,-99.302738,"1307600010400018",20.052431,-99.342391,"2023-06-12T19:46:04",366,23.44
"ZXZyYjR1dTM1cDMyNTo3bjdnaDUwZ2Y5c2M3","1304800011550023",20.09702,-98.770759,"130520019",20.164182,-98.92843,"2023-06-23T18:09:02",1245,26.05
"a3Q3cTEzaWxoMXM2OmJxczM4aTlzZnVlNmQ=","130630031",19.931023,-99.310291,"130130010",19.98677,-99.246862,"2023-06-30T17:16:02",1026,159.65
"ZDQxNTZiaThrdjBqdDpjanQwOTJsdnVhMW1i","130210031",19.649327,-98.578069,"130210031",19.64658,-98.566997,"2023-06-23T18:14:03",2700,26.05
"YXVpN25vYmYyY2drbzo0aDJzMWVrMGNqcG1x","130610022",19.796398,-98.479364,"1300800010059003",19.711339,-98.453314,"2023-06-15T17:05:53",1428,24.73
"ZnVuYzBzYmxwZnNwMTo2c3Uyb2tjNjJhOHJj","1302800010259016",21.139605,-98.415763,"1302800880460007",21.052659,-98.50992,"2023-06-20T17:04",940,195.02
"NmQ2c29vMmJzMjl1NDo0a2o0OGE2cm5sM2dk","1304800012417007",20.113842,-98.746727,"1305101512319040",19.994581,-98.718145,"2023-06-30T17:23:08",1304,31.34
"ZXA5YmVvaWp1bHRncjo2ZnVlMGRkNXFmMXIw","1308100010186017",20.647109,-98.655446,"1306800010042005",20.72809,-98.630383,"2023-06-13T18:48:23",1282,150.6
"NTUwZzRjc2c5OXB1czpmcDI3ODhzMzFoNzh2","1307600220059060",20.025523,-99.345267,"1307600220059015",20.038612,-99.340203,"2023-06-16T18:16:52",177,23.58
"N2FjMnNqN2o0ODlmYzo0aTRhb3Y3ZWZpMTly","130690016",19.813306,-98.945253,"1305800010116003",20.553124,-99.322994,"2023-06-30T19:59:32",6506,30.11
"cTRnYm4xNnI0NDNiOjdlcG11OWR1bGNydGw=","130510577",20.085132,-98.720334,"1305100270666027",20.059941,-98.7169,"2023-06-09T19:26:08",254,22.3
"MTA1Z2tlNDVybTlhZjozYTVyZHYycm0xZGto","1305100231185006",20.112126,-98.70261,"1304800010548002",20.077279,-98.779256,"2023-06-01T18:47:46",792,143.92
"MzlpNDJ1cm44NW9xZzozMjJrdWE2bTBuamNx","1304800012417015",20.116847,-98.741534,"130480001196A036",20.106118,-98.78123,"2023-06-30T17:21:45",367,31.34
"Mm4wb3Q0a2FzNGNjNjpjMnRtOXJoNG1wZTZj","130760001042A011",20.049512,-99.335139,"130100324",20.048525,-99.26656,"2023-06-14T18:34:39",644,24.46
"YjZqdHEzYmUwOTRwbTpjdnM3ODZzNGI2OTNx","1307700010821011",20.08599,-98.346713,"1307700530770005",20.069339,-98.423746,"2023-06-20T17:24:54",846,101.62
"NzZoMzhtMmdkdjVqYzo4a3QwOTIyOTh1ZHRx","1305400320136021",20.304043,-98.999541,"1300300010175011",20.271599,-98.946283,"2023-06-01T18:56:44",466,113.83
"Y2lpbTRzZDk5am8wZTpib2YzczhrZzJubWFs","1304800011419019",20.110066,-98.737028,"1304800010425014",20.105946,-98.750503,"2023-06-08T20:33:46",135,107.03
"ZDZuY2h0MGxpODNqcjo4NGlhNzdpZGFpYXU3","1301300010078024",19.993851,-99.231756,"1301300010133011",20.006597,-99.219911,"2023-06-22T18:34:16",173,68.61
"NXU5OWFnbWVuZnM4ajpvcGxxajduMWlvYWo=","1305100781679021",20.051444,-98.760846,"1300800010171025",19.706404,-98.456361,"2023-06-07T17:57:17",3210,26.04
"MjkwOW1wOXB0c2RrMjoyOWVvanZobG1ybzZn","1304800011955024",20.119207,-98.784063,"1304800010285034",20.131867,-98.75016,"2023-06-15T17:40:14",435,25.29
"YTFrM29zdWJ0bXJiMjpmaWJobDBrczhqOWQ4","1305100631255042",20.081871,-98.726428,"1300900010130009",20.224349,-98.912981,"2023-06-30T18:54:32",2159,78.65
"NjBkc2g5YjVjamw2bDo2NjdzdGE5NG05aDB0","1304800010425014",20.103199,-98.749087,"130480001196A044",20.102041,-98.782346,"2023-06-28T17:09:57",376,29.64
"OWU2aTU4dHQyM3E2MTphbDc4a3E2ZWJpbWdi","130610037",19.737518,-98.581502,"1306100020431024",19.778588,-98.579228,"2023-06-21T17:15:45",430,25.87
"MXFocjhsbDVqNm1kMjo2amRqcDNva3Rpcjcz","1306100010319004",19.793651,-98.551719,"130610037",19.794981,-98.545153,"2023-06-29T20:04:47",153,184.37
"MXZjOTFoZWI3NzkwYTpmdWVoZXRvc3ZodXFl","130630031",19.960763,-99.329689,"130630031",19.958532,-99.325697,"2023-06-29T17:16:52",100,30.57
"ZGh0dHZwdDV2b2dmYjplZTdmdTdka2FxMHBr","130820022",20.007541,-98.824146,"1308200020200037",20.013592,-98.835089,"2023-06-07T19:37:21",286,49.55
"NG51aWc0c29tNjVvZDozYWo3dGtpZHV2N2Fp","1301300100237011",20.019772,-99.248879,"1301000020108019",20.065176,-99.24197,"2023-06-29T17:09:36",661,216.83
"MzlkZ2N0N2RqcWVrZjo5Z2dqOTJkM3NrMG1w","1308400010173015",20.744398,-99.393976,"1308400010173015",20.74414,-99.394147,"2023-06-08T17:49:38",255,107.28
"ZTcyZW1pMm8yZXJzaTo3MDdpZWc1bGMyZGV0","1304800010406025",20.102727,-98.766725,"1305101081414008",20.085518,-98.710506,"2023-06-09T19:35:59",550,119.13
