"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NDE5aTZ2dDEwbGxxajpjNG4ybjJjNnFiZ2tx","1304800013114023",20.072987,-98.796294,"1304800011423006",20.054963,-98.782561,"2023-06-23T09:32:17",619,32.39
"OWk0Z25sajFsaWhrNjo1MzhxMjRoaGY1MG1r","130630020053A041",19.916818,-99.319646,"1306300010277025",19.907463,-99.338658,"2023-06-06T06:38:18",553,98.4
"Nm9jMjM0ZzRhNWRiczplZWJudTM5bm0zZm0x","1303400010044015",20.83967,-98.717029,"13034003A",20.837524,-98.720462,"2023-06-22T09:53:41",150,19.31
"NzhudmUxdGgxZGpsZjo2MThtY2JqOXE1bnZp","1304800010228032",20.120323,-98.725741,"1304800011067024",20.121825,-98.71733,"2023-06-14T09:33:11",228,48.37
"ODRlc2w0cmlkamRvajo1YWphZGN1bTc2ZzJw","130280001048A016",21.142952,-98.406622,"1302800010437048",21.14866,-98.402932,"2023-06-22T06:18:40",206,164.42
"NTJqZzFnbzA3N2dqbzplN2x1cmd1Y2hxZTYy","130770108111A027",20.118091,-98.401988,"1307700100431055",20.116632,-98.413832,"2023-06-05T08:24:02",496,71.14
"NDl0N3NyaG9iNzNtZTphbm5hbHR0NG1jOTht","1305100270717027",20.054018,-98.724496,"1305101361541006",20.079725,-98.732178,"2023-06-14T09:41:15",1202,17.99
"OTBnczNsZW1nc2ttODphbG5oZ3VhdnAyaG9u","130510577",20.045521,-98.745911,"130510577",20.07067,-98.74222,"2023-06-27T09:27:12",678,21.88
"YzQyOGhyZmZocHAwNzpmNW04YW5hMGlyampi","1307700010376009",20.062387,-98.34255,"1301600010120004",20.053461,-98.343236,"2023-06-30T07:41:06",296,36.81
"Y3JzaGNnbDk5amU5NDpiNGJxdm9rNjI4bDM3","1308100010275017",20.652387,-98.65845,"1308100010152011",20.645349,-98.65742,"2023-06-23T11:53:04",188,159.93
"OTI3dGVvOGczMjM0MDo3dTIzZnVibmR1dW43","1306300010309004",19.904931,-99.340804,"1306300010328030",19.920681,-99.347885,"2023-06-16T11:39:49",586,159.34
"MXVkaHJ0bHE3NWlwdTpmZWduZDFudjI5NHRi","130690016",19.826953,-98.947914,"130690016",19.828069,-98.944266,"2023-06-09T07:55:11",190,16.4
"ZHV2Mjhwam1uOXBjMzpxMjZydThlMW5wbTQ=","1304800011391011",20.119722,-98.772261,"1304800012417017",20.114744,-98.746898,"2023-06-19T06:46:26",731,29.59
"YmNlODBnaWtjdTZkaDplOWg4OTRqcm4zc29o","130770001022A011",20.093071,-98.365681,"1307700010982016",20.082643,-98.347571,"2023-06-02T09:19:10",697,19.14
