"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"MTNiMG9nazV2cW10ZTpoazhxdXJvbzd0ZnI=","130100324",20.037668,-99.249823,"1301000010023040",20.049512,-99.213774,"2023-06-03T07:12:14",627,41.73
"ZjBhc2wzZXRsdWRjcjo5MmVza3U0Y3ZpNm41","1306900420603011",19.864933,-98.937957,"130690016",19.885318,-98.935211,"2023-06-24T07:38:15",365,29.41
"NjE0c3F1NmR1NDNxMDo3cmw4Yzl1dm5sc2s2","1303000010083021",20.513771,-99.216864,"1303000010204015",20.482485,-99.220684,"2023-06-04T08:17:35",429,86.89
"MjlidDJwbzhwcWQyNDo1ZGxmM2ZpNmh1NHNk","1306900501175020",19.870341,-98.971989,"130690016",19.870899,-98.959415,"2023-06-25T06:49:15",193,31.65
"MnAxNmJjZ3VqaDY4ZjpkMW5ndHR0Z3ViOHFm","1308100010171021",20.652559,-98.653386,"1308100010260001",20.660369,-98.659823,"2023-06-17T11:50:43",111,207.11
"NGJhaW43ZGVnb3RqaTpmazI2ODMwbGFsN3Rw","130240048",20.239069,-98.539145,"130240048",20.211475,-98.558199,"2023-06-11T11:12:46",548,26.25
"NzFvMG80NDN2bms5azpkcThiMWt2cmk0dDM=","130630020053A048",19.913771,-99.31896,"1306300010120007",19.912269,-99.336855,"2023-06-03T07:54:11",236,216.33
"MXZkM2xoMGNvb21qYTo2MWhlZ2s4MDBzbGxu","130480001260A011",20.121911,-98.805606,"1304800012347018",20.106032,-98.752735,"2023-06-18T07:30:14",438,39.25
"YjRjNmo2anR2czdvOnNpcWxpYzc5ZGh1","1304800011546015",20.113842,-98.722651,"1305101341876010",20.058653,-98.756597,"2023-06-10T08:21:38",615,52.08
"YXRuaTh0MzM0dW9yMjo4OXY2N2VxYXZwaXQ1","1307700010130002",20.068738,-98.390143,"1307700010978012",20.085862,-98.350146,"2023-06-17T09:54:46",516,60.8
"Y2RxOGxma25uOGdocjoxamtzbjYxajE2NmJ0","1304500280014028",20.188601,-98.639567,"130240014",20.237482,-98.56159,"2023-06-10T11:07:07",745,24.58
"NzJwdDA5NzBjdGttbTpjaWE4aDZjb25vMjhv","13022001A",20.031102,-98.648708,"1302200010077006",20.019643,-98.635833,"2023-06-11T11:39:13",296,223.76
"MnI0aTlndHQzZDVjMjo1bTcxamgwN3V1MXUy","1302800010507019",21.131666,-98.407824,"1302800010263017",21.138875,-98.414562,"2023-06-11T07:49:05",140,206.71
"N2VkZm9vdDM1Y25zNzpmcm91bWI3Z2R0M2U4","1305101381880002",20.057623,-98.753936,"1304800010586002",20.067108,-98.782518,"2023-06-18T09:09:16",507,27.43
"M2w2MGZxOThvdWRpOjNqcGs5dGRkMWFlZnU=","130760001042A015",20.052946,-99.330761,"1307600010379009",20.056508,-99.344237,"2023-06-04T11:36:40",132,32.62
"Zmw2b3QxYmNxbGxxOToyajdmZTBxMXRlNDVn","130050005024A008",20.160234,-99.094598,"1302300140110021",20.208471,-99.051511,"2023-06-17T09:26:01",756,63.53
"ZjVlaWZxdmY2NTA4bjo0YjJpcXFyZzIxYWI2","1306700030505005",20.171521,-99.320891,"130440017",20.284731,-99.694512,"2023-06-04T10:34:33",3156,216.99
"NmlvMmMzcmgwaHQwYzoyNDJhazRjYjlicWlu","13056015A",20.049942,-98.423874,"130770001061A015",20.081484,-98.35757,"2023-06-10T07:12:32",796,24.58
"OG1tN2Nya29uOGE3djozNWNyNXBmaWl2NGFi","1305100270736007",20.067322,-98.71557,"1304800010980005",20.111439,-98.74634,"2023-06-11T09:47:09",636,27.7
"ODRtaml2cmhzcnJ0OjkyZjByMTJlcXQ3dWE=","130510027069A001",20.05964,-98.711879,"1305101482183001",20.04595,-98.711836,"2023-06-17T07:20:31",207,57.44
"amQ5aDUxaGpxcDRlOmF1YzM3aGlsZGVzZWw=","1307700530770042",20.07509,-98.419626,"1307700010588004",20.089767,-98.372891,"2023-06-24T08:10:16",688,109.78
"YmlyaGJlOTk1OTY4ZTo3cjRwdjU2bXZmMWFn","130510562",20.069211,-98.676002,"130510577",20.054233,-98.702524,"2023-06-25T11:26:25",447,31.65
"OG4wMTRiZzhpazU5ZToxYWE5YWx1Z3Jzb2Ju","1305101301842029",20.065777,-98.770716,"1303900010089019",20.1456,-98.673213,"2023-06-04T11:43:38",1076,29.93
"YWhtMGtlbDcxbGZpdjpkcHVlNTg1bnFtamxj","1304800012008058",20.098693,-98.782432,"1304800011550023",20.09702,-98.770115,"2023-06-03T11:14:37",122,99.99
"OGMxZWo1YWd0OHFjOTpicGNtYTUxdDhmb2Vo","1306300010258017",19.90772,-99.346125,"1306300010084001",19.897034,-99.347112,"2023-06-24T07:29:20",171,91.96
"ODAzN3A5NWdtMjkxYzpmbmZlNGUzMmdxZjNn","1304801532900023",20.07097,-98.815005,"1304800010938034",20.1244,-98.759,"2023-06-11T06:23:56",980,69.7
"ODRvcXVlZ2FubHI4aTo2OHFwMHNuOWlxYWF1","1301600010188002",20.042431,-98.327401,"1307700010588039",20.090668,-98.37126,"2023-06-11T10:19",544,18.15
"ZjZvMDB0a3ZndGQxMTplMjhvMzcyb2MxMmsx","1304800010764023",20.109851,-98.773763,"1307400030143004",20.114787,-99.197853,"2023-06-03T06:01:31",3743,83.02
"NTFkdnRnZnMyZ3FxdTpkdmNmaTY1YnVmNGRk","1301600010313030",20.012262,-98.301051,"1301600210296006",19.998014,-98.241656,"2023-06-17T09:17:12",532,216.37
"N3BiZGQ5cHFkM29qdjozN2Frb2tpdDdlMWU3","130760044",20.059812,-99.362648,"1307600010398025",20.05183,-99.34458,"2023-06-03T08:07:57",333,111.52
