"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NWVoNGxuNmkycDAxNTpmb2k0ZzQ5dmJzNDNp","1300300120086003",20.285718,-98.973019,"1300300400029007",20.276234,-98.967526,"2023-06-29T22:31:38",318,30.57
"ZTg1YjdrOWpwYTI5NDpjZXZmOHM2ZTJ1Mmpj","130120001",20.284088,-98.660939,"130120066",20.280526,-98.647764,"2023-06-22T05:48:09",246,73.05
"NjlhMWZscXFlM2s0cDpiNTEzbGs5bThkb2Yw","1307600080701002",20.050671,-99.298403,"1307600240078029",19.997671,-99.316599,"2023-06-02T22:25:58",1010,83.81
"MWZhdmlsY2FocW1zaToxdmUzYjI3NWJpZ2Vv","1307600010082046",20.055091,-99.334924,"1307400020092024",20.098565,-99.244974,"2023-06-12T22:14:30",1062,137.7
"NDI2M3ZwMjFvMDRtMDo5OGpkcHVybzBrM2dj","1300300010160010",20.288851,-98.9486,"1300300010283013",20.264003,-98.937314,"2023-06-14T21:14:49",304,41.3
"NDJwMnZsbWppajMzNDoxcGRiYWptcWNzbDVl","1307600080701006",20.052989,-99.292867,"1307600080932021",20.066636,-99.324024,"2023-06-14T21:27:45",617,19.79
"ZXVnaHNrZG85dGUxcTpmam1iMHY2MjJra2p0","1300700010102001",19.708164,-98.398726,"1306100020361012",19.775627,-98.574679,"2023-06-22T21:28:02",1544,81.43
"ZXA5YmVvaWp1bHRncjo2ZnVlMGRkNXFmMXIw","130510099172A047",20.058353,-98.763635,"1305101101749006",20.061014,-98.772905,"2023-06-09T21:30:39",108,150.6
"NmE1dmd0aDRpYWgwZTozOWg5aDBmNGMzMGFx","1304800012120005",20.124743,-98.773377,"1304800012120005",20.124657,-98.770931,"2023-06-21T22:54",436,45.11
"OXZwaGxsZmNqZGFoNDphZzVvNjZkdWNxdHJh","1303000010365016",20.478494,-99.211028,"1303000010242004",20.48918,-99.219482,"2023-06-29T05:52:05",231,48.55
"ODdwZTBjY2tjdG8wdDo0Y2Y2c2kxNWV0YXQ=","1300300010118033",20.27087,-98.929889,"1300300050404009",20.251729,-98.961947,"2023-06-16T05:24:18",523,89.32
"M3VhN2g4YzEycW01Nzo0aHRrc2RnYnRoZ25t","1302800010206027",21.142352,-98.418982,"1302800010545006",21.144755,-98.42881,"2023-06-23T22:47:53",138,165.15
