"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"OWtpcmFkZm9idDJ2YTo5ZDhsM3NtN2p2amhs","1306900010355106",19.817169,-98.978727,"1306900010355021",19.820817,-98.982332,"2023-10-14T12:50:42",593,21.91
"NTNtcGdlb3U1Y2poOmFzZXVranZxbzc4bHY=","1306900080444024",19.810088,-98.957784,"130690008043A018",19.81189,-98.953965,"2023-10-22T14:10:11",441,5.71
"OWV0aTRmcmxpbm43ZjoxZ2JpMHNpa3J0aTlu","1305101482183023",20.043676,-98.712609,"1305101482200028",20.04359,-98.709819,"2023-10-21T15:39:39",257,4.15
"ZHRqaXVxZWNpYjVvYzo3MTBtdmxpY2NsYTJs","130670011",20.17873,-99.312866,"130670011",20.17873,-99.312823,"2023-10-07T13:09:46",398,31.1
"ZnR0ZnEwNGJiYnEwYjoybDltZ2VhdjY0MnFp","130300011",20.689251,-99.195535,"130300011",20.692728,-99.187381,"2023-10-22T12:05:21",2126,242.09
"Y25qN20xamRhZTQ0bzozMWZvaGJxZjR1dXYx","1300300130033028",20.31297,-98.907444,"1300300130033001",20.314,-98.90517,"2023-10-21T12:46:36",249,6.23
"YmR0azdjbnNqaHJrMjo1czZmZHNndmRmZmU5","1307500410206005",19.889181,-98.941219,"1307500410206005",19.889181,-98.94109,"2023-10-29T16:25:59",454,7.57
"ZGZ1a29mYmU3aHNlZTo0Y3Vqcm03MTJpajhm","13030005A",20.411031,-99.170001,"130190014",20.4088,-99.17455,"2023-10-15T12:06:41",1255,2.35
"Zmpqc2F1cDk4czJsOTpiYXA3bmgxNjFjdXZv","1305200010108001",20.123456,-98.887231,"1305200010288006",20.118949,-98.891609,"2023-10-15T14:14:13",729,3.71
"NWx1Zmh1anE1c3ZzcDpmNjBucnNpNTBudW1z","130370031",20.664318,-98.690937,"130810010",20.662429,-98.686817,"2023-10-08T15:13:55",429,348.64
"N2I3N212MDY5cGNzZjo2ZThnYnJmNDMxZm10","130060020",20.439699,-99.359472,"130060020",20.433648,-99.360287,"2023-10-28T16:34:06",1221,18.53
"Zm5iOHJyamhlOHI0djpha2xoZzZrYW5ya245","1301000010023001",20.058482,-99.221499,"1301000010042011",20.054748,-99.221284,"2023-10-28T14:59:38",644,5.73
"OGI2NnVsZm82am9ocjpiajE5NGoxbTI3bTQ3","1306300010277006",19.909952,-99.341962,"1306300010277043",19.908407,-99.343164,"2023-10-15T12:44:56",226,8.77
"Y2FkcWJtYTlqN3J1Mjo2aWM5cjhxcjAwaW41","1307400010124016",20.092728,-99.220469,"1307400010124018",20.097363,-99.219568,"2023-10-08T13:01:30",535,29.76
"OWk3cm9qMGlydGtzYzoxcmJpdTY2czg1bXRr","130600010",20.358717,-98.157842,"130600010",20.357988,-98.159945,"2023-10-07T14:39:33",184,1
"MmhhdGs4ZTdmdDBsOTpyNzg2b3AwOXRkN2w=","1303100010080012",21.00734,-99.190643,"1303100010080027",21.007812,-99.194291,"2023-10-29T12:26:14",486,279.21
"M2I2dHQ5NmZ2ZWU5YzpjN2w5cWhvdmtrOTJm","130770001047A022",20.097749,-98.37302,"130770001047A018",20.096161,-98.372633,"2023-10-07T14:17:11",328,9.5
"b25zNGkzbGFpYmQxOmZpa2x1OWd0NmEzbmE=","1304800012366006",20.077107,-98.769343,"1304800012366001",20.074747,-98.769815,"2023-10-07T12:15:26",424,26.38
"Y2FrbmFya3I1aDF0dDpjY2xnNHQ4aDAwYW82","130410002002A004",20.215509,-99.175193,"130410002002A005",20.214736,-99.174206,"2023-10-15T16:54:01",324,28.05
"OWIyMGpuYTU2c2U4bzo2djJxaWJlZ2V1ZzJ1","1300300120086001",20.281856,-98.970659,"1300300120086017",20.284517,-98.965123,"2023-10-29T16:55:11",1574,15.42
"NXEwNDFvMjhpczJjajo2YmNmczc4bXNtbHRr","1300300010349024",20.270011,-98.939116,"1300300010211025",20.267437,-98.945467,"2023-10-08T12:44:13",808,10.63
"MWh2ZWlhY2Nqa2JrNTphbHY4djM1dXRrNXVn","1304800010139011",20.124271,-98.739302,"1304800010139006",20.125902,-98.737328,"2023-10-21T14:45:08",279,12.79
"Y2g0NXFnNzk2Y2hmOjY3cnFpcDBmMWN1M3M=","130690016",19.861157,-98.992074,"130690016",19.863517,-98.990057,"2023-10-29T16:38:43",1172,17.04
"N2s0bjM0M2FkbjdpNjo1YzIwcW8xZmFmZHJn","1307700010696027",20.081999,-98.368514,"130770001008A005",20.0823,-98.366582,"2023-10-01T12:01:04",344,16.44
"N3JmczN1dWMzNmlybDo0ZWY4M21zcnJpMGxv","1306800010042034",20.725472,-98.638194,"1306800010042015",20.728133,-98.6324,"2023-10-29T16:08:39",667,154.83
"Mjc0MG5icHU0N2d0OmRyYzYxNmw3bmEzaTg=","1307500010066031",19.955184,-98.912981,"1307500010066008",19.955742,-98.915684,"2023-10-07T14:57:28",216,70.99
"MjFwNzRtZjdkMzJxaDpjbnFzcml2Ym03Z2ty","1307700010075001",20.083759,-98.353407,"1307700010268045",20.07921,-98.353064,"2023-10-15T12:28:58",432,6.54
"OXRvdnJpbWppdG9waDo3aDZidnI2bHRwdXJt","1304600010308002",21.170418,-98.60841,"1304600010308028",21.168659,-98.613689,"2023-10-15T12:57:20",508,16.01
"YWd0ZWx0ODNoaDBvZDoycmdiYXZwaHI5ZTFw","1303000010204003",20.483129,-99.218323,"1303000010204037",20.480168,-99.222915,"2023-10-07T12:10:15",594,7.7
"YXAyb2U4YzB2M2VkMDo3Mms3b2VkNXEwZm5m","1300800010152005",19.707778,-98.450482,"1300800010063006",19.709709,-98.450224,"2023-10-15T12:47:34",356,10.64
"YnA0aDVqNmQ5NHZwNjoxZHBybjY3MmxzcHFl","130480001285A005",20.038269,-98.794148,"130480001285A005",20.036123,-98.79565,"2023-10-07T15:33:15",330,9.82
"YW1tZXUxbHNucmR2czpmcXN2Z2Zza2kycGk0","1300800050133023",19.663446,-98.514941,"1300800050133016",19.661601,-98.514555,"2023-10-08T14:13:52",230,6.82
"OWZmbHJoZ2pwNWU3Mzo4cjNzaXN0ZjNpcnA1","1302900010114040",20.386097,-99.654729,"1302900010114026",20.387943,-99.654214,"2023-10-21T13:25:20",226,20
"OWttOWsxYTFhdTg2ajoxN29pczVuN2t2c2d0","1308100010148009",20.654233,-98.66111,"1308100010186016",20.647795,-98.655231,"2023-10-15T14:16:56",848,16.81
"MWlsYWp2Ym10ZGxsaDozMHNicWUwNTVoaHZp","130110035",21.0203,-98.341391,"1301100010069019",21.022618,-98.344567,"2023-10-29T14:46:05",670,174.33
"YmxmbTlqcWNxaTUzcTo1aHQ2MnNnczVya3R1","1301300010078024",19.994538,-99.227722,"130130010",20.000374,-99.228709,"2023-10-08T15:30:50",847,6.11
"OGE4YjZ1aHBiYWJxODo0b2RqdDFvMWxtOGNr","1304800012173027",20.04595,-98.790457,"1304800010783048",20.043805,-98.793719,"2023-10-07T13:39:44",2336,26.2
"N3FrZXBuN2lkOGU4MTpmN3A3dWk0MjYwMmk4","130690001004A002",19.827983,-98.966796,"1306900010054002",19.829013,-98.961561,"2023-10-15T12:57:16",629,7.84
"ZWlmcjJpYzY5bW9jNzpiYnIxNzNkZDU5M21k","1307700010573025",20.096848,-98.369243,"1307700010215004",20.103843,-98.371174,"2023-10-14T15:18:09",1210,2.88
"NTBtOTBzcGNpbGF0OToydGNqdWZuYWJidHZq","1304600010327007",21.169302,-98.606179,"1304600010327016",21.170118,-98.603904,"2023-10-21T15:38:56",223,81.23
"M2dra3I2dGwwcTBtbjozam50NWRmN3FhdDB2","130800028",20.960863,-98.384349,"1308000010032016",20.953224,-98.382161,"2023-10-29T14:04:07",3478,280.02
"MTFsZmIzcDVxYm9qMjoyNmYyMHA1aDU5Z3Rn","1304800010529019",20.096076,-98.761876,"1304800010529019",20.096462,-98.761532,"2023-10-08T14:23:32",236,19.18
"OXNtNzRyYWZkdm4wYTpjcTAzZnRlNm8xZGll","1304800011052017",20.112641,-98.774836,"1304800011048028",20.107105,-98.769171,"2023-10-22T13:38:43",984,3.82
"M2d1NHJ2MjhiYnVhbzpjcGM5OWo0bW43azU2","13057002A",19.998872,-98.511851,"13057002A",20.002778,-98.507731,"2023-10-07T13:41:07",577,29.54
"YmFqZGdyYWkydGY3ajpkYzBjY3Z0c3Ztczhs","130380007001A015",20.179417,-98.755867,"130380007001A007",20.178902,-98.75591,"2023-10-01T12:32:10",1057,12.47
