"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"ZnJyMDRuNmF1MWdjaDoybGgwOXNzb3E3NDVx","1305101482253031",20.051486,-98.71866,"1305101482253030",20.05183,-98.719389,"2023-10-07T11:43:19",1030,15.1
"ZXY2YjJ1b3FlZmY1cDozNGppNzBzMW1ndm8z","130590062",20.4721,-99.739573,"130590062",20.475233,-99.746525,"2023-10-21T11:46:49",859,1058.34
"M21tZGZxOTRmaW44YTplY3NzY3BuanBrZ2lm","1306700080416027",20.194566,-99.269092,"1306700080416019",20.196583,-99.272568,"2023-10-07T11:44:38",422,21.04
"YTczZ2U3aXZ0YWk0dDpjYTY3bm9uMW4yczZj","1306900010162021",19.846995,-98.977053,"1306900010162013",19.846394,-98.973191,"2023-10-01T11:55:57",337,9.62
"YjBndjB0cTI5NmJiNzozZ3Q5YWw3NDJqMmxq","1304800010622051",20.067279,-98.778741,"1304800010622042",20.060456,-98.777196,"2023-10-28T09:47:02",769,145
"NTU4c3Jub2Rxam05ZToxcGIxdW91Y25iMHFu","1308301330443007",20.011661,-98.795822,"1308301330481029",20.008013,-98.797967,"2023-10-08T11:03:48",712,6.88
"NXZpb2JzZnZmOXIyZzplZjVvNjdiOHAzNmN2","1307600240913009",19.988058,-99.325826,"1307600240542037",19.987457,-99.316814,"2023-10-29T11:05:04",834,10.77
"YTZtY3JmMmVjdGFpczo1MHZoajZwcTlybWs0","1304800011442002",20.119894,-98.778098,"1304800011122041",20.116417,-98.77445,"2023-10-14T11:22:14",649,17.08
"ZzNwNTBhcmJzdmI6OWVlNGIyMHRrcW9oZQ==","130700003006A035",20.139506,-99.238193,"1307000030040006",20.137575,-99.240639,"2023-10-14T09:26:20",346,10.31
"OW5zNGlvMTl1NmpvZTplMjhvdGVlNGs0b2hm","1305100631240034",20.076163,-98.732221,"1305100631255033",20.077794,-98.724282,"2023-10-01T09:45:05",853,10.77
"YWo4aG5qNG9rNzc1ZTo5MXNjbGlnZHU2ZjZm","1306900010162019",19.844248,-98.977525,"1306900010321013",19.846995,-98.978984,"2023-10-14T06:11:42",407,5.38
"MmN1aWNudjVmYnNlMzo4cXFlaG11bTg5YTA5","1304800012192015",20.092256,-98.739817,"1304800012192001",20.094016,-98.738272,"2023-10-21T09:47:16",363,1
"OHViZnVuaDhmcm90ZzozNm9wNmJnZGEyZzdv","1307300010127006",20.992792,-98.656518,"1307300010127021",20.992534,-98.658364,"2023-10-01T08:51",361,45.28
"OWVudHFrbTBkNW9saTo4b2tqZGcwMW5wODdy","1307400020092037",20.09732,-99.242871,"1307400020088021",20.095003,-99.241455,"2023-10-08T10:11:38",456,38.41
"NWlhZWpqZm9vc2x2aDo2Zzk1aGt1ZTZrZTkw","130270035",20.458839,-98.080509,"130270035",20.456822,-98.078363,"2023-10-28T08:47:27",574,64.53
"Mm5lbHRnbWI0ajM3MTo0aGs1ZHM2OGZtZzE3","1305101341876010",20.057409,-98.75664,"130510577",20.057495,-98.759429,"2023-10-21T10:04:58",396,5.93
"OWpqcXBzaW5wdDIyZjpiNHJoM2wzaDZndWJz","1306300110154005",19.997199,-99.372346,"1306300110154041",19.997456,-99.375823,"2023-10-01T08:33:07",423,25.3
"ZWJ0NTRmYXFoanRiajo5ODdlaDRrbXQzNzVq","1301300010148013",20.008099,-99.22416,"1301300010133004",20.007927,-99.217594,"2023-10-21T08:25:02",825,15.61
"OHVrNmoyMG1mdG1yczpiNG50czh2Y2FicTVz","130020001013A002",20.15723,-98.199728,"130020001013A028",20.160277,-98.201015,"2023-10-29T07:37:42",408,30.36
"bjdsMDZiMjNqaXN0OmNtY2RjcWxlaDZtZWM=","1307600010082055",20.06037,-99.337327,"1307600010082041",20.059941,-99.340074,"2023-10-07T09:37:58",285,12.34
"a25jbjA3MWYydnRhOjNyOGppOGNhOHIwZXA=","130250045",21.048925,-98.159688,"130250045",21.048152,-98.159516,"2023-10-08T08:56:24",523,727.55
"MWllOXRyamlzNTRlZzplOWttcWU2ZjZuazhu","1304800010406060",20.104616,-98.772476,"1304800010745002",20.101011,-98.772433,"2023-10-29T09:05:05",293,6.41
"OG8yMmMybHZxZjkzdjo4dGpnNjhlNDNncmQ4","130420001007A020",20.78697,-98.719604,"1304200010084024",20.782549,-98.719003,"2023-10-15T11:11:19",444,39.63
"ZDk2ZGE1ZTFlaWM3Mjo0NXRybTJwYm9jYTFn","130550044",20.376012,-99.04104,"130550044",20.37627,-99.045846,"2023-10-15T09:33:25",844,2.76
"YW1na2d2ajRzdmg3ODpkanNoNWs5MjdpNHBp","1303100270042028",21.024292,-99.163349,"1303100270042001",21.023004,-99.163949,"2023-10-07T06:34:37",279,88.47
"YTMxZDZsZjV2aGJqbzoxbWJwYWRqZGF2YmU0","1304800010177027",20.115731,-98.754065,"1304800010923037",20.115001,-98.762519,"2023-10-28T11:38:23",1046,4.96
"OXUzMWRzZ2E2aGZiNzphcG4zNGE3cjBybXQ4","1308301330458039",20.009515,-98.792131,"1308301330458020",20.009987,-98.794062,"2023-10-21T08:23:21",443,3.53
"ajZ0dDZmdWN2cjRxOm5mY2x2dWJwNHY2MQ==","1301300010133031",20.015395,-99.219396,"1301300010082001",20.017583,-99.222143,"2023-10-07T08:23:44",418,132.32
"NDNtbTdxMTg3cGR2YzozNTJtamo2MWhpdHBk","130510099172A042",20.057623,-98.764322,"1305100951698012",20.057967,-98.76651,"2023-10-28T06:25:51",236,6.97
"YTRjMGVjZzZqNzVjNToybmUxNThrbWJtM21j","1301300060129058",19.97617,-99.235017,"1301300060129001",19.979303,-99.240081,"2023-10-14T08:49:43",844,21.88
"ZDgwN2VqOTFjMjF1NzplbWJoajZmYTZhazhj","130250045",21.062872,-98.18651,"130250045",21.062958,-98.184149,"2023-10-07T09:40:05",253,375.31
"Yjh2N2M2djYwbjduZDphcnZiaDVqOXIyYXBp","1304600010327023",21.171019,-98.600729,"1304600010276020",21.172264,-98.598797,"2023-10-01T09:40:32",271,3.28
"YWJvcXNsdGozaXNiZDoyNGc5am1jdmZnYWRs","1300800010063007",19.710138,-98.449452,"1300800010059002",19.712241,-98.453314,"2023-10-22T07:09:40",613,3.33
"NmRxNjRocGM5NGExZzo4dTdwN2pxMzN1dWJz","130480001285A005",20.036509,-98.796079,"130480001285A005",20.037582,-98.795178,"2023-10-29T11:52:53",308,102.15
"Ymh1dGc4OGxncmxvMTpmc29ocTQ1ZHI5cmE4","1302900230044001",20.374897,-99.628379,"130290044",20.377557,-99.628894,"2023-10-28T09:03:04",680,28.98
"NHZoZnMzZmgyZGtyZzphdGs3Y2lxbWQxMTVq","1302900010114024",20.380991,-99.651811,"1302900010114061",20.372322,-99.653141,"2023-10-28T09:17:57",1024,3.31
"NTE2bjR2NHUxOWJ0cDpmMDZnNmswMnFqa2Z1","130760001042A059",20.062687,-99.333465,"1307600010082047",20.062258,-99.334667,"2023-10-14T09:26:39",2177,4.09
"NTBiNThqMHU5OHA2MTpkaG8zNnQzcjRqZG9l","130300030",20.525916,-99.190814,"130300030",20.528533,-99.190686,"2023-10-22T11:53:57",287,230.56
