"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"MjJzdG1tamVib2h2NDo3dnE1bDRzb2xrcDFi","1304100010180023",20.231688,-99.200685,"1305000010048035",20.248983,-99.189613,"2023-10-20T05:47:17",573,3.43
"N3I2OGM0YXRwaTJucToyZGRoN2NtMDQ4Nzlx","130800028",20.919921,-98.409755,"130800028",20.918291,-98.414905,"2023-10-12T21:14:45",238,366.92
"NHIyODgwY2sxc2VhdTplZXQzcXU1aGI0MHNj","130300026",20.518491,-99.209397,"130300026",20.53231,-99.213645,"2023-10-04T04:00:22",1115,5.61
"ZjBzNmwzMGNqb2ZrcDphcW9kMGJlY3RpZm01","130440036",20.235379,-99.607565,"130440036",20.241473,-99.610312,"2023-10-04T23:46:04",267,6.65
"OWlkaTlnYXZmZmM2Mzo3MDJmamYxZ3A4MW9n","130770179",20.093458,-98.346283,"1307700010821021",20.084231,-98.346756,"2023-10-06T21:20:47",507,11.83
"NHNzb3Y0NmZsY2Riajo1czN2dDk4cGZ0a2Rq","1306900420660007",19.856822,-98.938429,"130690016",19.863002,-98.935554,"2023-10-31T04:40:54",216,13.12
"OWhocWprdnA4ZmM5MDozZzh1YmU0Z2tmbWky","130300001037A023",20.470898,-99.203217,"130300001037A023",20.470941,-99.203217,"2023-10-11T04:36:46",752,3.39
"YnE0Z2pldmJqYjJxOmFrdjVjY2U1OGJycnE=","130230017",20.226624,-99.09683,"1302300010040021",20.247352,-99.087431,"2023-10-04T05:40:50",749,11.02
"Ym1xNmhxdmJlMXQ1bzo1bTF1dmZiOG5zb3Zw","1304800010980039",20.114443,-98.739431,"1304800011245010",20.105689,-98.733122,"2023-10-18T23:32:47",356,3.24
"OWk0a3QxMWQ3a3RmOTo0c2x2ZGtnaGs5dDhk","1302500010030033",21.029999,-98.286159,"1302500010100014",21.034119,-98.285944,"2023-10-03T21:19:44",142,5.18
"N251ZmI3cDg1MDlvcDpicWtwNTA5Y2gxMDIy","1306300010309004",19.903429,-99.340804,"1306300010258016",19.908493,-99.34561,"2023-10-09T21:39:50",214,2.1
"ZXE3bzFpaDhyb2lzMDo3cmZoamMwbDVycDY1","130690016",19.846351,-98.950574,"1306900051086018",19.852703,-98.954008,"2023-10-05T21:43:31",547,8.97
"M2s3bjFtY3NyOHZvbjpmdDdsNWkzZDU3Nmlv","1307700010075040",20.086291,-98.357055,"130770200",20.079553,-98.333409,"2023-10-12T05:28:48",738,2.71
"Zm5rbzFra2VjNGY3czo0ZjkwY3BmcmxuY2Ew","1302900310063008",20.387084,-99.832528,"1302900290152018",20.384338,-99.810169,"2023-10-12T05:17:47",618,20.27
"Ym4wa3FqdnBnZ3ZtODo0bjk2NTR2NGIzazBp","1307600010650016",20.046637,-99.350288,"130760044",20.049341,-99.374449,"2023-10-13T00:36:16",693,1.25
"NmE0dWZkdDViZmF0Njo4a2RnMXZycGticHZq","1307600240913009",19.988873,-99.326127,"1307600240078053",19.998486,-99.318445,"2023-10-12T21:40:25",485,6.7
"NGo3MjhpZTdzYWtvMDo1NTdxdDVnaTd0OTJl","1301300290400025",19.894545,-99.238236,"1301300290415010",19.89712,-99.233,"2023-10-11T21:23:47",182,2.24
"YnJiOWRvN3RrN2s5NjpkYjFhcXNwa3U2amI5","1304800012347006",20.101097,-98.759129,"1304800011599029",20.106461,-98.73235,"2023-10-20T00:26:37",1017,1.25
"OGNzNmo4Zm43bGVmdDoxODYxdGI4N2huNWE2","1300900010145043",20.218427,-98.910019,"1300900010145015",20.211003,-98.900921,"2023-10-02T22:59",540,4.59
"Y3FiZzRxbjF2bXJuazo5MnJmZHV0MDk1cDlu","130040011",20.358245,-98.395936,"130040011",20.361121,-98.3901,"2023-10-23T21:58:05",269,53.08
"YWI5N2llN2I4a25yNjo0Y2djcmU2Zmg5bWQ2","130120066",20.274432,-98.664458,"130120066",20.280612,-98.678877,"2023-10-30T21:38:06",608,3.34
"OWRodDVlNTNidjNmMTo3aGQyN2UwdjdtNHA4","1307700010713004",20.076292,-98.367999,"1307700010037045",20.088093,-98.35448,"2023-10-03T05:48:11",560,4.86
"OGc4YjdpbTRjNWhhczphaGFybGVyMG5zamQ2","1304801480016001",20.153196,-98.74192,"130480016",20.153153,-98.747542,"2023-10-19T05:36:55",369,7.62
