"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"OGc3NTVobm5vbDFxcjphY242OHJrb2huOTR0","1300200160197017",20.126202,-98.175008,"130020001013A039",20.162165,-98.197625,"2023-10-15T21:55:53",781,649.64
"NWhnZDA1aG9nOTRubzo2ampvb3BranFjc2hz","1306700060435001",20.187056,-99.249694,"130410005002A008",20.16474,-99.200513,"2023-10-29T01:07:28",905,45.64
"ZmpldTRvYmNvcGhvbToydDlkZHJjZjRzbGkw","130800028",20.934684,-98.400915,"13011004A",20.999272,-98.367226,"2023-10-14T22:22:06",571,196.94
"NDc5NW9ubTg4ajdxMzpjOTVicDViNDJxdnM1","130820022",19.988487,-98.84114,"130690016",19.846051,-98.950231,"2023-10-21T22:21:09",970,12.57
"OWprZmxsMHYxNnBqMzppZnUwbjhucXF0NWU=","1302900210078012",20.344255,-99.648464,"1302900210078012",20.344255,-99.648421,"2023-10-28T22:55:37",633,38.83
"YjN0dnJrOTFsMW05djo5NzU2OGhwNmYxbTMz","130240048",20.208256,-98.556182,"130240048",20.149205,-98.498976,"2023-10-01T01:20:15",1046,35.21
"MjFjMWRqNGNwajl1djoyaWlxdDh2Z203NW8z","130720001005A008",19.813349,-98.604248,"1307200010083008",19.811761,-98.598669,"2023-10-08T21:01:17",112,27.25
"MjZ0b21jZ2lqcjFrdjo2cW1zZDBwbHQyZWY3","1305100951698001",20.058568,-98.767283,"1304800010251017",20.115216,-98.729432,"2023-10-14T22:21:53",638,19
"OTRiZ2Rmb2dobTNjZzpiaHU2bWhkZjJtNm5v","1306100020465026",19.767215,-98.578455,"13008003A",19.699194,-98.537514,"2023-10-21T21:25:59",1191,64.11
"Y2phdThxZzZvZTNvdTplNWloYzB2MmJiMzM=","1307700010713012",20.077922,-98.368213,"13056015A",20.058653,-98.402975,"2023-10-21T02:41:30",657,15.69
"NGxrOHRwcm5ra2g0djphdnVlaWpodHZrMTc0","1306300010262015",19.904974,-99.35106,"1306300010309037",19.900939,-99.341362,"2023-10-14T21:46:59",148,15.51
"OTZoOGF2ZTJvaHY1ZzozZW85bm9iOWg3cDdv","1306700080416023",20.194566,-99.278233,"1301000020080017",20.057194,-99.230211,"2023-10-22T00:24:01",1244,24.22
"ZWcxaWI1YXA4NjgzOmQ1NmtvbDM2MzMyMjk=","130100324",20.052602,-99.24536,"130050057",20.083115,-99.112451,"2023-10-21T23:38:55",1481,27.83
"MzByamE2MTVlbjIxbjoybDVkMzFiYjlzMmJw","130770145",20.137961,-98.350232,"130770145",20.138433,-98.350232,"2023-10-29T23:26:53",202,8.71
"OWU1ZHRtZm41anUzdTo1N2Y3azhmMWR0OHUx","1306400110024036",20.198815,-99.392474,"1306400110024047",20.20714,-99.400027,"2023-10-28T23:26:21",206,120.14
"NTBucm5mb3Q4aHN0cTpmZGNhaXVxazIxM2Z1","130240048",20.222933,-98.558586,"130240029",20.24967,-98.548372,"2023-10-14T22:51:53",313,189.06
"cDczc3I1dHN0cHZwOjN1ZjNsaDhwbjBtaHA=","130370012",20.668523,-98.828824,"130370031",20.629256,-98.752091,"2023-10-07T23:27:11",2280,208.25
"MzBrOGFoNjQ2bGNlOTphcnFzdjk4bDFnZW9p","1305100010168022",20.076807,-98.697031,"1304800011118013",20.122426,-98.772476,"2023-10-21T00:35:40",855,18.61
"NWVhZDU2Njk4dHI5dTo1OW9tMWtyMDI5MXI5","13022001A",20.064619,-98.656347,"13022001A",20.06479,-98.656561,"2023-10-08T04:13:42",494,22.35
"OTQzMms1Yjg4YnJ1YTo1bmliOW5qaGxhZzdw","1307300010131033",20.986998,-98.66729,"130420012",20.856493,-98.712866,"2023-10-14T04:54:13",1429,44.76
"MmVpNTdrOGJmcDMwcTo2czBzczh1ZXBnZGI3","130520023",20.131867,-98.87852,"130540051",20.397599,-99.161332,"2023-10-28T00:59:05",2844,824.3
"Y2RjZWhsaGRmdG1ldDpjcWUwMDBmYjhzNmgx","130550059",20.348418,-98.936756,"130550025",20.410559,-98.967655,"2023-10-14T00:56:15",1125,88.49
"Y201NGY5ZWU2anJzZTphcWI1MWRwaWlnN2Vw","130670011",20.189931,-99.279521,"130670011",20.220358,-99.253385,"2023-10-28T00:13:29",386,64.7
"OWZrOGdiajVwM2VqcToyMnFmZXY2bGppbG03","130240014",20.204823,-98.591716,"130240048",20.205896,-98.500865,"2023-10-07T23:44:10",1067,17.62
"NnAwanRrZjVhODc0dDpkNjU4amNodDU1Ym4z","1304800011550019",20.091612,-98.772604,"1304800010976020",20.102727,-98.763249,"2023-10-29T02:37:37",202,18.82
"MmFiZGFoajl0YWxoZzpjYXNoY2c3cGxiZjNu","1304800012328012",20.101783,-98.746984,"1300900050107008",20.246279,-98.925641,"2023-10-28T05:13:55",2066,6.07
"Njdic2lsaGQ2MjViOTpjbmowZHYxaXZmdmRi","1307700010268038",20.077922,-98.356369,"1307700010573011",20.092728,-98.370101,"2023-10-21T23:03:46",295,4.62
"ZG0yYmJrcnZhZWFoaDo1aXByY3VhdjVhdDNv","130090018",20.2086,-98.907874,"130030033",20.287306,-98.926156,"2023-10-22T03:14:43",720,39.42
