"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"OTc0dG5pbmpqcjlvbDo5am0xazdqZ3ZlcDJt","1304800010177039",20.116031,-98.750288,"1304800011052024",20.112512,-98.771617,"2023-12-23T16:55:06",702,10.61
"MmowNDV1aHN0MmY0YjpkMDBnNGI4b284bnVp","130350022",20.241859,-98.330705,"130350022",20.244219,-98.340147,"2023-12-24T15:49:50",304,60.22
"Ym5hbDJtbHYwNnFwbDphcTUzOGlnYmFmdGJ0","1302800010259006",21.143425,-98.415892,"130280051",21.120121,-98.410699,"2023-12-30T13:38:53",618,104.62
"ZTNvaGp2a3FiYTQ3azo3b2c2cjR0b2xsbDFs","130170024",20.240014,-99.452984,"1306400040024057",20.249155,-99.427149,"2023-12-02T15:17:21",682,63.44
"NnBnMzBjZTJpc2V2MjpiNWdwaGs4cWJramg1","1308200020268003",20.03372,-98.841355,"130820022",20.015438,-98.828652,"2023-12-24T16:03:28",741,63.24
"N2JuZ2JxcWkxdjNjbTpkcXNzbThncGNlZmVz","1307700010287030",20.0929,-98.352506,"1307700010376008",20.068567,-98.346155,"2023-12-30T13:31:18",808,12.08
"MWptOTdtbGkzaTcxczo4b2VjdWNnaXQxMGs2","1300800110311003",19.640057,-98.470008,"1300800110148011",19.642761,-98.472068,"2023-12-10T15:23:37",96,66.15
"MTlybjIzaG44ZGg0YjpiajBkaGJlZDJ2Nm1x","13056015A",20.041187,-98.460567,"130570022002A005",20.049512,-98.474901,"2023-12-31T16:12:36",795,5.86
"ZG83dThvMjNsZ2ZiNToyNWo1YTNnNTA4dWRi","1304800010247020",20.113928,-98.733938,"1304800010976007",20.103714,-98.760288,"2023-12-17T16:13:37",957,15.62
"M2UyNzIxcXZ0bjZ0OjFpZ3N1ZzlnYTk1OTQ=","1304800012188017",20.090754,-98.741577,"1304800012192041",20.088823,-98.739989,"2023-12-24T13:00:23",143,6.7
"NHJjODlsNjJqZ3ZpNTo2OHAzaHBkaHU1b2th","1301000010023003",20.058353,-99.221113,"1301000010042043",20.049298,-99.221284,"2023-12-02T12:06:56",330,14.36
"ZTRoZzI2MWhxNWdtbzo3dW8yb2lzdWozODhx","1304100010091008",20.21538,-99.231584,"1304100010142032",20.234606,-99.223816,"2023-12-03T14:46:19",585,160.68
"YWpuOWE1Nm1tbXNmdjphaWk2MjQwbmZuaWkw","1307700010516015",20.077879,-98.37538,"1307700010018053",20.09496,-98.358815,"2023-12-31T13:13:23",687,8.42
"MTJ0YjU0b2ttdWJxMjo0bWRzY24wMTA3dDRh","1306300130046005",19.845192,-99.305441,"1306300130046005",19.842017,-99.308832,"2023-12-23T14:22:06",121,19.21
"NWF0N2thOHVhcWhmdDpkcTRiZzcwOGt2azI4","1301300290364004",19.896219,-99.229524,"1301300290415030",19.898193,-99.232357,"2023-12-30T12:29:16",470,56.44
"ZjdxMXYxMW40ZTkzdDo5NGV1OHY3Y2UwMHU0","130280047",21.080725,-98.53554,"130280047",21.069567,-98.539317,"2023-12-03T13:28:55",1026,235.27
"NWNyMGxxYnNjZmNpMjplanAybGE3dW5mbGNm","1305100030219018",20.104229,-98.693039,"1305100931306005",20.099723,-98.70261,"2023-12-17T13:43:46",393,7.81
"OTlvMHQyZnNoNHY3OjdwaGo5c2xvM2RwZw==","130380024",20.195725,-98.730848,"1303800010039050",20.214908,-98.733938,"2023-12-30T15:01:02",1209,6.86
"OWJ0M2wwbnU0MnFmYjoxZjE1aWpnNXR2b3Bs","1305400320136020",20.302026,-98.998168,"1305400320136017",20.302284,-98.994563,"2023-12-31T12:52:13",119,27.8
"N2ZhM2Z2MDMxbnFlcDpiaW80M2d1MGIwdTk3","130760001042A011",20.050972,-99.335353,"1307600080468020",20.068052,-99.321492,"2023-12-03T16:57:02",631,24.31
"ZXJyN3FtdXVxcTk3MDo4ZGdsdHZjbzMyYzk3","1304800012370002",20.072601,-98.774321,"130510078165A027",20.05522,-98.759172,"2023-12-16T14:25:36",732,5.02
"N2kwOWpvZXRiM3AydjpkM2RrcG5jNGpnNGN2","1306900010228006",19.839013,-98.979628,"1306900010088036",19.827383,-98.978641,"2023-12-30T13:51:27",300,53.69
"MTYzcm5rM2RzMXB0NjoxcmRudmYzYTc3N2dk","1306100020450024",19.765155,-98.577726,"1306100020516009",19.761808,-98.577726,"2023-12-30T12:58:05",177,45.19
"MmllcmRjamRzcjV0dDpkOTA3MmNyam8xc283","130280047",21.073687,-98.504426,"130280047",21.064546,-98.521121,"2023-12-17T13:40:59",1660,229.93
"ZjZzMG9nN2NqNTk2NDo3dTk0c3BibWUxcTho","130770179",20.128262,-98.350189,"1307700010573025",20.112555,-98.365939,"2023-12-09T15:15:19",884,3.27
"OGY5bTRqdjIwcm5tOmFnMXJvcWwzY3AzcXY=","130460045",21.186426,-98.596909,"130460026",21.20106,-98.596694,"2023-12-17T13:56:17",491,1756.73
"NjM2N3V1cjJlcm1wZToxZXFjM2huaWFqZQ==","130690002050A029",19.880254,-98.957269,"1306900420675027",19.881284,-98.93564,"2023-12-09T13:41:17",704,16.77
"b2I1NGIwZTVoYTNmOjFrbmRtcWZnZ2c2ZHU=","1304800012328001",20.105217,-98.745482,"1304800010529019",20.095046,-98.762305,"2023-12-31T14:47:46",594,9.16
"YnBxZWI2bm9zZDg2NTpmdXNnZGZsdW12OTBh","130680019",20.860913,-98.454645,"130680019",20.860741,-98.454559,"2023-12-30T15:46:39",559,412.26
"OGdpMzhjZDEwcmYybjpldTFhcTA5c2M2MGw1","1306700200524014",20.167015,-99.265831,"1306700010399020",20.192893,-99.267976,"2023-12-24T12:46:13",786,23.33
"NG1ncmNrNXUzNDhiNDo3ZmFqZzNhb2M2YWRo","130630031",19.889953,-99.24154,"1301300290345015",19.893901,-99.226692,"2023-12-02T13:42",653,72.6
"NGhuZzU5OXFzZDZqNDoxNWk0YTE2bDYzYTU2","130480020",20.138819,-98.820069,"130520023",20.144956,-98.816335,"2023-12-30T14:33:36",215,8.44
"NDNmZmdyZmk3OHY5MTpjODNlNmlzaGhha3Jj","1306900010162009",19.844935,-98.976367,"1306900190410038",19.839699,-98.953493,"2023-12-23T12:27:48",902,22.15
"czhqanB2M2NwMjdkOjc5OXBpZHRxNTRhOW0=","1305101261823001",20.063503,-98.763549,"1305101301842019",20.066206,-98.769,"2023-12-17T14:13:12",202,19.06
"MzQ4MjZkZjhzamY0YzpjamRnZDh2cG02aG1s","1302800010210028",21.134369,-98.427479,"1302800010210069",21.136043,-98.429539,"2023-12-02T12:02:57",96,35.44
"YTNkbG5qYnM2cWdzbzo0YzEwZjQxdHVycjcx","1304800010228007",20.11955,-98.725698,"1304800010853034",20.132682,-98.728058,"2023-12-30T16:05:11",555,31.1
"ZGZqMm02N25kdGNkOjlpaW81OGNqMTZxbW4=","130050005024A007",20.163538,-99.093611,"130050038",20.165641,-99.08181,"2023-12-10T14:23:16",315,88.1
"NWoyOGtrdnFoMWN2bzo4MnQ3c2RybmF1cmhz","1306300110154013",19.996254,-99.372604,"1306300110154013",19.99634,-99.372647,"2023-12-02T14:14:01",419,38.86
"MnVrZHJlM3Vvb2FmNjphY2swdW8zNTQzOGhl","1304800010054015",20.127232,-98.743551,"1304800010143008",20.127017,-98.730547,"2023-12-30T13:17:39",440,12.44
"Mmg3YW9mNGZiaTdxazo0cThlYmRpZzVrcWtr","1304300010058001",20.767787,-99.150989,"130430043",20.757444,-99.163048,"2023-12-09T15:42:14",1304,941.74
"NzFwMGJtbzRnNDA3MjozOTc5YWt2dmg0YnFi","1305100951698018",20.060499,-98.770759,"130510577",20.062001,-98.758957,"2023-12-10T13:55:39",382,15.43
"N2xuYzY2OXBsY3J0aTo0OTA2cjdrcnY1MTdy","1300600010073002",20.410173,-99.349,"130060020",20.409014,-99.32059,"2023-12-23T16:48:48",716,60.99
"YmpjbTFmdjU3aml2ODozYjB1ZWswcGZyNjls","130180021",21.17604,-98.923109,"130180001006A008",21.160462,-98.904998,"2023-12-23T16:39:56",1218,372.77
"NG1zbzRycnNwMGplZTo3OGZpZDczamlpdWdq","130180017",21.137202,-98.971517,"130180017",21.121709,-98.989327,"2023-12-03T13:44:17",1020,210.24
"Nmw5cW1zaTU2cDRpOmM1YWp0b2RoMTRsZXY=","1305101482272033",20.043504,-98.724196,"1305101482111049",20.043204,-98.72205,"2023-12-09T12:17:46",79,13.79
"NDQ5cm9tZGg4dWttNTpjdGJodWNrYWpqczhq","130280051",21.13982,-98.45001,"130280051",21.139476,-98.447306,"2023-12-16T14:34:59",508,93.29
"NjBkOGszanAyaTduZjo3bXUxZ2NtM3NsMWhm","130170024",20.269711,-99.411399,"1301700010058013",20.284903,-99.417279,"2023-12-02T16:43:43",574,8.5
"MjR2NmMxMGlxMjYyNjoxZG5xcnFyN2xvbnNq","130480020",20.119121,-98.845046,"130520023",20.129335,-98.839252,"2023-12-23T16:02:57",1135,8.27
"YzJucHNna2xkdTFrZjoxNGc1b3VhdG91YXVy","130540013",20.324171,-99.030311,"130540013",20.342238,-99.022586,"2023-12-31T15:09:10",885,7.23
"ZDYxamNwMWlhZHQ0bDoxczYxbXVqaDYzNG1w","1304400010055011",20.24967,-99.644687,"130440036",20.240743,-99.621384,"2023-12-02T16:53:12",726,24.01
"NnYydXBtZ2VuN2J2bDplYjcyazd1bmdqaGEy","13006004A",20.399745,-99.367969,"1300600010073022",20.409229,-99.353034,"2023-12-31T16:19:19",431,104.59
"NmZmY2s4M2ZkcGpuYjpla2xrajgwbW8wNWhv","1304800010919036",20.124528,-98.764322,"1304800012154018",20.127275,-98.750803,"2023-12-02T14:12",350,5.43
"NzJ2a2U1OHFlOTY3ZTpma2tvZGFkMDc1Z3Bl","1308000010032018",20.954511,-98.380101,"130800028",20.964854,-98.400743,"2023-12-02T12:04:04",1761,298.3
"YW1pcGlwMTNuZHBzNTphaWU3YXIyM2c0MTY2","1302800010244055",21.153166,-98.41512,"1302800010441040",21.153209,-98.395679,"2023-12-30T13:50:07",1257,35.99
"MTZhY3VwNW9uZDhvbTpiaGk5MThyYTExZHFv","1303000010204037",20.481155,-99.22107,"1303000010219017",20.480726,-99.225404,"2023-12-23T15:48:14",253,6.61
"Y2twYm9qa2QzMGwzNjoyc2Y3dGh1NGQ0M2Rq","130760063",19.959476,-99.334753,"130630031",19.950936,-99.326813,"2023-12-17T12:00:57",602,8.82
"MjQzdXV2cmZpczM4ZjplcjhiaDZzNWN2bDJ0","1300800010059013",19.711339,-98.452542,"130080044",19.695075,-98.435118,"2023-12-02T16:57:08",670,85.46
"ZDYzY3Y0ZDAyNGlhMDphanJodnM2dWNnMzQ3","130690016",19.87107,-98.956411,"1306900440711025",19.875104,-98.967226,"2023-12-23T15:49:42",370,17.97
"MmQ3NWJyYTh1bXVlMjo2cXEycnZwNnBtODBm","1307700010499019",20.089467,-98.376281,"1307700010484041",20.08981,-98.375852,"2023-12-30T12:09:49",1054,48.59
"OThlbzVzamltbjRuZjpmam9oNzdjM3Q0bDds","1304800012934011",20.035737,-98.780587,"1304800012756002",20.057495,-98.777583,"2023-12-10T12:13:41",672,3.01
"NnIwNmxsazFtYm9zZzo1bnBqMzQ5NmZmdjZ2","1304800012120005",20.125988,-98.769944,"1304800010961041",20.108135,-98.758528,"2023-12-23T13:05:47",1097,111.15
"MmMxbzdtM29tc2VrNTplMGkyNWUzOWhtMm1r","130510577",20.049727,-98.727887,"130510577",20.05492,-98.751404,"2023-12-23T15:55:52",907,41.23
"NzVnZDd1ZnFoanNvcDpmMWI3azRxYmIxY2Fw","130390001006A009",20.137403,-98.682911,"130510562",20.122125,-98.694627,"2023-12-10T14:13:19",911,19.61
"YWs1ZnZwZTlvZ3E4djpjaHUwcm9hNzNpcHF2","1302800010314011",21.135185,-98.418596,"1302800010437001",21.149261,-98.40246,"2023-12-17T13:48:14",736,73.67
"YWJmZHBrbHBmZGpndTpkMmNrbTg1dW5yNHJk","1302900010260020",20.377514,-99.650996,"1302900220044032",20.370734,-99.623358,"2023-12-30T15:29:47",708,68.01
"bmFicGRzaGpndmdkOjhmZThrODgzZWcyYWY=","1305000010090012",20.25203,-99.188411,"1304100010176009",20.233061,-99.203947,"2023-12-10T12:19:12",768,14.29
"ZXY2YjJ1b3FlZmY1cDozNGppNzBzMW1ndm8z","130590062",20.475104,-99.746397,"130590062",20.470254,-99.742663,"2023-12-30T14:08:29",258,1044.15
"OWV0cGlnMXJmOHFpNzozb2EzajlwczBsbmxi","1300300070029005",20.2934,-98.953063,"1300300010175006",20.271986,-98.948514,"2023-12-10T15:29:03",722,8.18
"YXBiaWpjZDF1NzZjdjo3cmJhZjRzMm1hdXY1","1306500010106001",20.10041,-99.143994,"1300500010184022",20.093586,-99.132707,"2023-12-02T13:22:46",401,26.67
"c2lkdDlnZWNydW00OjkwNXYzZm9ka2dq","1304801582690024",20.104101,-98.835003,"1304801582703011",20.105646,-98.840582,"2023-12-30T15:36:14",176,18.99
"MnJjZGpibmNmdnByazplYnVmaXY4cG9zdnR1","130510577",20.035737,-98.711751,"130510577",20.037324,-98.710248,"2023-12-17T12:18:17",131,3.72
"NGNhbW00amRldmpsZjpkY3NpbWc0MnBhdG5t","130670009044A008",20.162981,-99.261668,"130670009044A006",20.156157,-99.261324,"2023-12-10T12:05:18",182,93.45
"ZWlwN2YyczR2cDd1djo3bWwzOHY0Y3JvZWg1","130190029",20.276449,-99.28673,"130190029",20.276234,-99.259393,"2023-12-02T14:07:15",609,125.3
"YnFicDJxb2NkZGhtczo4djQxNXJtZW05ZWg1","130690008043A024",19.804723,-98.948128,"1306900080444009",19.809701,-98.95817,"2023-12-23T16:38:34",300,35.96
"OGpzNjk4bzY2M28xMTpkZjJtb3ZpMmVzZWpk","130300026",20.581191,-99.20841,"130300011",20.591018,-99.206951,"2023-12-10T15:17:29",310,480.03
