"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NzhpcHBiMm5yMGVvNDo1OGRkM3NrZTViYmE0","130790050",20.709164,-98.701494,"1307300010131037",20.985668,-98.671796,"2023-12-22T14:22:47",2823,100.57
"NjRydWJjbTJibXM0ZzoxZGcyM2o0MGtvYm11","1304800010529010",20.090497,-98.770888,"1304800010618012",20.068352,-98.777454,"2023-12-18T12:12:20",325,36.51
"OGp1OWQ1MzgwYmxuZzoycXEyYWpjZWJmZzlr","1302900010114023",20.380991,-99.654558,"130060035",20.426223,-99.476159,"2023-12-27T13:21:56",1140,1762.31
"N2trc2FhNDRvYmoxZDpma2hwMnQ2ZDBndmJw","1304800010139014",20.12603,-98.738959,"1305100041077026",20.092256,-98.710806,"2023-12-21T16:28:49",324,14.77
"ZXZjMGU5MWxjbW8wcDpmbHQxZXQzZG9pNGM2","1306100020662025",19.756401,-98.572834,"1306100020662019",19.756529,-98.573048,"2023-12-21T16:25:13",371,36.6
"ZTNodnN2YzJvaGxiYTo0NW5vYXZkbGs4NjVj","130440017",20.28044,-99.689019,"130440036",20.240314,-99.623315,"2023-12-11T14:21:21",663,107.84
"MmNtM3NmdGNpa3NndTo4N2EycmNsZnUybmo0","130800028",20.897391,-98.432629,"130800028",20.875547,-98.422759,"2023-12-21T14:08:14",1133,228.69
"NGtncnMwdmlyMHNwZzpibTRjYWUyNTNmbHJz","130400022",21.100724,-99.127429,"130490013",21.234534,-98.988812,"2023-12-27T15:00:15",6132,89.64
"Y3Jqc3Exa21oNDhjazo5N2c1czhqdmJxc3Vw","13037007A",20.550249,-98.732736,"1303600010053009",20.53098,-98.637164,"2023-12-14T16:09:06",1617,36.36
"MmUwazFuMTU0bGt0czo3YmVvaW9xcmRwNTgy","1302900070063008",20.297692,-99.826047,"13030005A",20.486691,-99.165537,"2023-12-18T12:42:58",4484,15.28
"YnBxZWI2bm9zZDg2NTpmdXNnZGZsdW12OTBh","1302800010263010",21.136,-98.414562,"130800028",20.933268,-98.402889,"2023-12-26T15:47:21",1911,375.4
"Y3YzZ3IyNW90Nm8wYjpldmR2YzB1dDhhb2Js","1307700010287028",20.091269,-98.35315,"130770001054A048",20.100925,-98.355811,"2023-12-14T12:02:13",162,9.49
"MWsxaTB0bjdkcHFvOToxbjNqMWk3NW1lcWlk","1307700010018026",20.090067,-98.36345,"130350022",20.252116,-98.331306,"2023-12-08T13:49:41",1585,161.41
"ZjhrMXQxMGg5ZDM1cjoxYjc5MGpob2tydmc5","13038001A",20.2404,-98.776681,"1302300010040041",20.2404,-99.088762,"2023-12-11T13:50:01",4750,50.43
