"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"Y2QxamdiNDcxaXZsZzo3OGVtdDJrdWE2ZXZy","1303700010192016",20.58913,-98.75973,"13037007A",20.580933,-98.764536,"2023-12-10T12:35:07",246,77.26
"ODAzODRrdmRzOGhwdjphdnRrZGQ2ODVidXNj","13027004A",20.416224,-98.123124,"13027004A",20.417941,-98.094885,"2023-12-03T13:25:12",314,318.16
"M3VuZmd1OHFtZ2JuazoxNmthZ2MwOHVya2Ew","1302800010193019",21.145141,-98.425248,"1302800010244005",21.144068,-98.415248,"2023-12-17T13:36:45",131,75
"Y245aTdxYjNkYXRrNjo4aDBxZ29wdjZoaHVk","1307700010516024",20.075691,-98.375037,"1307700010573031",20.089595,-98.369887,"2023-12-02T13:46:57",247,30.52
"ZjJvcTl1ajE4bjc3bjpicmY1ZjBlZGozZnB2","130600025",20.353224,-98.230326,"1307700010272017",20.09496,-98.355339,"2023-12-10T13:03:22",5452,65.01
"ZWg0MTlqMmRnMDFzbzo2bGphdjJkdDliZGV0","130280028",21.150849,-98.364265,"130280051",21.153209,-98.392932,"2023-12-16T16:30:05",311,538.32
"OGkwdm9hYnNmbDI5MDo1MHVlcWhwYzlwbzM4","1304800012563039",20.118949,-98.799427,"1304800011122013",20.115731,-98.771961,"2023-12-31T16:42:51",307,13.87
"OTJlZHFzbGpycG0wODpmYXJyc2dtbTVsa2lu","13056015A",20.05861,-98.402932,"1307700010501012",20.074575,-98.384564,"2023-12-31T12:00:06",351,42
"NmU1dDdkc2lnNjhibToxZXBqdDRqZnBvMnRy","1307700010605004",20.072987,-98.352592,"130770001054A003",20.098178,-98.352764,"2023-12-30T13:14:14",317,12.73
"Zm04aWU4bGI0Z3BqZjoxdms1bW50bnZ2c2xr","130160027",20.020673,-98.25247,"1301600390328007",20.024536,-98.317659,"2023-12-17T14:18:21",692,21
"OHN0YjVlazVvNDMxNzpjMzhyNXQwNGk5NnJm","130030001018A017",20.268509,-98.949759,"1300300010368006",20.27499,-98.941305,"2023-12-17T13:22:29",212,8.64
"ZDZoazYzNWxpa2U4dDozcnVicTl0cWNpYjMz","1304800011940084",20.110238,-98.782303,"1304800012328003",20.098307,-98.744667,"2023-12-09T12:08:40",492,4.06
"MnJsbXA5MDIwcm5jMDozMWNkZzRoaHM2dW03","1305100030219005",20.102684,-98.702438,"1304800011546010",20.114701,-98.718703,"2023-12-10T14:04:05",203,12.29
"MThrNmx1c2p0dXU1dDpmbXBmaXVhNHB1aW8w","1304500210014001",20.185211,-98.643601,"1304800010980022",20.113199,-98.741448,"2023-12-17T15:18:13",1180,290.93
"NDlxdDZicmJybTk2bzpkMW0yc2FsaG4ycG9y","13030005A",20.410259,-99.169486,"130540013",20.346873,-99.02971,"2023-12-03T12:35:56",1140,5.41
"YnNya2wxY2p2YmlsbTpjajUzM3JhZ29udHZz","1305100551221022",20.083802,-98.737929,"1306900010232012",19.840128,-98.972504,"2023-12-02T12:47:37",1916,10.9
"MnQxa29mY2loZzUxbjo3NjAwcHI5bGMzc2Mw","1300300010160018",20.280054,-98.946497,"130030033",20.313098,-98.924825,"2023-12-02T14:33:04",640,53.39
"OXFoZWdpb2k1YzdzdTpmODk1bXZpbXZkOG5k","1307700010268031",20.082343,-98.355339,"130770001008A060",20.080626,-98.36478,"2023-12-23T12:31:38",121,17.33
"ZTBocXBndTVwZzhoZDpiMDhpa3RvbDQ0NmJp","1303800010039020",20.21611,-98.73059,"1304800010529019",20.09702,-98.766596,"2023-12-09T12:10:09",1901,34.68
"Ym9iNnYzY3NidWJ1NTplMDZjbzhibzU4aWdk","1308100010186017",20.647366,-98.656089,"1308100010256042",20.660841,-98.659265,"2023-12-09T15:02:39",215,122.63
"NXVkOTNmZGlqZDM2aTo5NGZvZjRoa3Q3bWds","1304800012347016",20.105088,-98.756125,"130320016",21.130121,-98.51773,"2023-12-30T15:54:07",12260,87.28
"ZTFjaXF2NjY4Y2lpcDpjcjI2ODQ2dmpldWw2","1303000480401019",20.437124,-99.158542,"130300026",20.56102,-99.208453,"2023-12-10T14:24:07",1159,20.87
"OTF2cWQ3bDgzNnNlMDpkZGNtYmU1dXVhcmc3","130120032",20.320523,-98.741963,"130120032",20.388072,-98.754194,"2023-12-30T14:38:16",1337,125.91
"YzFyYW00bWhnaGdvODplYnRlcGY2b2EwODJu","1307600010379017",20.055091,-99.343379,"130630012",19.975612,-99.376981,"2023-12-09T16:42:01",843,27.92
"Y2JlcGMwZDJpdWZxODpiYjRoZWhocGU1bDRr","130750013",19.929264,-98.889163,"1301300290379049",19.89536,-99.234889,"2023-12-03T16:09:48",2739,84.45
"NzU3cjJidXVvN2E2dTpmdmZmZ21yNDF1OTA=","1305600010200020",20.037324,-98.359416,"1307700010713017",20.074446,-98.367226,"2023-12-30T12:28:23",296,70.15
"ZDRrbWI5dDgyamU2aTo2bGtyZ2FrY3RtZW9t","1304100010208017",20.225894,-99.216778,"1304100010142018",20.229671,-99.226348,"2023-12-16T14:58:38",167,13.39
"MmxvanNuODZqbDQ0cDo3MmZoYzd1NWUxZmVw","1304800010389006",20.109165,-98.764021,"1304800010868016",20.128434,-98.73059,"2023-12-23T13:11:05",384,11.94
"OTZ1aWxnNTRsNzljaDpmZnFsMjM1bmZrcDZy","1308301330369025",20.022089,-98.795779,"1304800012440011",20.031016,-98.805907,"2023-12-17T13:50:54",485,15.65
"MWQ5bTRzODYwdTA3dDo1Y3IwMzNjYW03MXU=","1300800050129009",19.66469,-98.513954,"1300800050129003",19.664562,-98.51361,"2023-12-16T12:27:27",206,45.54
"NTY3OTQ4Z2EyaHYwYzpjcG1saHMzNXRxdWFs","130010003001A003",20.227053,-98.452413,"1307700100802018",20.112298,-98.410313,"2023-12-24T13:19:28",1445,202.26
"ZWt2NDE0dGJtMGxhMDozbDlvOXVrbHU2aWMz","1302800010259006",21.143639,-98.415806,"1302800010441045",21.155784,-98.400271,"2023-12-17T14:09:07",304,53.38
"YjRwN2NpOW9zNzJuZzpkdXFuN2o4Ym44M3Bt","13030005A",20.414035,-99.167554,"13030005A",20.41661,-99.170043,"2023-12-30T15:06:47",296,27.56
"M2JqN2dndjg0OTFrODo3MDRtOTJzNnNwZ2Vn","1307200010079035",19.816997,-98.604205,"13083002A",19.872229,-98.661754,"2023-12-17T12:16:31",540,39.05
"cmtqdnI0ZzBlcHNyOjY5Y2NkMWw4YzhmbjY=","1301300060129007",19.9775,-99.237378,"130130010",20.012519,-99.24875,"2023-12-03T16:01",659,38.49
"ZmxuOGJ2YmdqZjJwZjpkbWxjdmNobmUxMjNs","1305100601236007",20.1038,-98.71969,"1305100631240031",20.076635,-98.730891,"2023-12-02T14:13:26",229,4.41
"YXUxZjRlbGVkb2gzajo0N2w5Nm1laDdoOXRs","1308301330481040",20.009215,-98.796551,"1308301020509020",20.028784,-98.804061,"2023-12-16T12:32:41",234,14.27
"ZTBjaXVtN29oaXF0dTpjOGRoYmRndnIxZzAw","1307600080947023",20.054576,-99.328229,"130760025",20.063503,-99.302094,"2023-12-10T15:51:18",334,12.53
"M3E2Zmc4cXBmYThnczoyNXNqOTlnaG9vbzMy","1306600010048029",19.886563,-98.817408,"1306600080118006",19.893429,-98.807752,"2023-12-31T12:54:37",179,53.97
"ZGNlcms4dnVpbXR0Mzo5ODIxYmUxZ3NhZzc2","1304800010406060",20.10483,-98.771703,"130280051",21.080811,-98.39319,"2023-12-03T12:55:42",12643,437.89
"OGp1OWQ1MzgwYmxuZzoycXEyYWpjZWJmZzlr","130580031",20.486391,-99.296901,"130060035",20.426137,-99.476159,"2023-12-17T12:26:19",1224,1686.53
"YjZoam9wNmZuOW5jNjpjbmdxbDdiYmdqYmVi","1304800012648072",20.131609,-98.777153,"1304800010548002",20.075047,-98.77754,"2023-12-31T13:09:02",572,38
"ODZvcGEwYzA1NnQzcToyZWpzdDNtODBvOWx1","130480001214A013",20.126073,-98.757799,"1305100831950003",20.02681,-98.710334,"2023-12-02T15:47:56",1226,23.98
"NXQ2azQydDltNmNzazphYmttZzkxbnZlcnVt","130440036",20.261042,-99.60645,"130440036",20.264776,-99.597652,"2023-12-03T12:58:09",402,33.73
"MTIydXZsYnFtcTJzNjpkbHBjNDdoNGZjaG04","1303900010089014",20.14663,-98.677161,"1305100291202009",20.105259,-98.714669,"2023-12-03T16:14:48",1066,42.72
"ZHJxNmpsbzJwbHI2cTozMXQzamdtaGwxNGd2","1306900010393010",19.83485,-98.988211,"1306900010321015",19.852059,-98.98113,"2023-12-03T16:44:26",282,16.47
