"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"M24yaXAxcmoyajEybTpmM3Zsc3VyZmQ5aWNu","1300800010059013",19.711511,-98.452156,"130080001028A019",19.718292,-98.45001,"2023-12-14T16:57:06",835,26.55
"ZGc3aTYwcDN1ZDZobzpmdWprcDUwNzdtZmJ1","1302700340088001",20.456951,-98.03489,"1302700340088015",20.456221,-98.029912,"2023-12-13T16:30:16",897,691.42
"Mml2NTkxMTE2dHU4YTpiM3AwN3Nvb3Y5a3Fl","130490028",21.225049,-99.032371,"130490028",21.222131,-99.02808,"2023-12-20T15:58:21",575,1226.46
"ODRlbjBzZGM4YzNjczoxMzh0cm5wbWg2Z3Zh","130760001042A059",20.061529,-99.335096,"1307600010400020",20.055993,-99.341061,"2023-12-08T14:38:18",905,11.01
"MWFkcW9hMWg4Y2thYzo1N25vMDBsb2lqZXNs","13056015A",20.035436,-98.336713,"130160205",20.033591,-98.335855,"2023-12-05T14:38:19",264,21.14
"dnE4MGd1ZTA3dHRuOmZwbDA0dm1oMjZlOTI=","1300100310024001",20.155599,-98.429711,"1300100310024001",20.155642,-98.429625,"2023-12-19T13:26:11",817,19.2
"NXB0NjdjdWlsNGZrYzo4Njd2aG5mMHZnNDZs","1306600080122009",19.89094,-98.806508,"1306600010048060",19.888966,-98.814704,"2023-12-06T16:23:51",832,59.23
"NHJldHBhcG80anNzaDoyZGQ1bzV1dnVyNXVz","1304800012347025",20.102127,-98.761446,"1304800010976007",20.104873,-98.759129,"2023-12-04T13:14:51",484,6.81
"ZjdzaW5pczkxaG41OTo4ZXNlbmhmOWNhdm5j","130700003006A033",20.139806,-99.237421,"1307000010074001",20.136759,-99.231026,"2023-12-12T13:21:05",1221,1.98
"ODloNThmcm5kaXI4MTo5ZHFvaXNhNW5iMDIz","130770068093A025",20.13869,-98.342378,"1307700680925027",20.139463,-98.340232,"2023-12-25T14:06:03",226,23.73
"NzBsMzR2dnRsajZxOjFhZjA2cWI1cDkxMTc=","130520038",20.112426,-98.940532,"130520038",20.113199,-98.947871,"2023-12-12T16:27:14",871,117.67
"MjJlbHE4aHZoNm41dDozaGFrZmFjbmI3dmc4","1305400190102006",20.254433,-98.997266,"1305400190102009",20.254004,-98.99894,"2023-12-26T12:16:07",320,31.8
"ZG90c2c4ZjJlZGt0ODo4aGdkc2twazgzdTdl","1303900010074006",20.139678,-98.676302,"1303900010074042",20.13706,-98.676732,"2023-12-05T16:05:26",395,35.4
