"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"ZjFocmtuZzNhNmd2NDo2MnFqNGx2bWpuYmhh","130840065",20.731437,-99.369085,"1308400010224030",20.73972,-99.377496,"2023-12-23T19:25:49",361,14.32
"OWh1b2V1bmcwdDl1YjphOG10YjM1YmFmaW9q","130760063",19.985955,-99.341748,"1307600240928007",19.985826,-99.321234,"2023-12-23T19:17:54",673,36.94
"ZDYxNGk0bnNjYWU2cjoxc3FjcG9xbmwyNW9z","1303000010083013",20.500681,-99.219739,"1303000010219019",20.478923,-99.22961,"2023-12-24T19:32:10",621,14.26
"MW8xZWlvZTNrdTZzMjo2Yzk4bWhtN2Y0dGVi","1306100020450022",19.766185,-98.577683,"1306100020484011",19.778202,-98.575237,"2023-12-03T18:40:47",432,8.65
"YXIya2pvNWx0azJybjpmMWxzOGJvYWVzN3Vx","1304800012934011",20.035479,-98.781059,"1304800011438001",20.054791,-98.779685,"2023-12-09T17:23:09",570,7.46
"NzVjb2MxNTlrYzl2NjpiMDk3cGpzdWY3NXBs","1304800011512010",20.07303,-98.79256,"1304801532900006",20.071185,-98.816721,"2023-12-09T18:48:24",1737,21.21
"N2lxZGR2bDdnZmxvbTpqYnNmNmowcnRsajM=","1306300010277034",19.909136,-99.335225,"1306300010262017",19.901626,-99.352219,"2023-12-10T17:37:45",549,52.9
"ZThka2FpbzlpbmR2ZDpiMjg4Mm1ucWRnYTJv","1304800011423006",20.054834,-98.78432,"1305101271838001",20.061271,-98.761961,"2023-12-30T18:00:52",775,5.93
"N242c2lpMGZqZWViYzplcHVoYXQzNWQzOWxx","130510027069A020",20.058911,-98.714797,"1305101081414016",20.081742,-98.71115,"2023-12-10T20:47:12",569,10.96
"Mm1ubW5pcHI0NzhzZjpmMjEybjE5cHR0amVn","130770145",20.134313,-98.348901,"130770145",20.134356,-98.348944,"2023-12-03T19:04:16",947,14.35
"ZThkNXNqMHY5a3NpMTo2Y3RkYm50cDUwazRh","1306900020919061",19.901068,-98.954995,"130690002050A103",19.882486,-98.952076,"2023-12-10T19:55:35",588,5.37
"OWY5N29uYWkzN20wdToxOTJycDgzcGJkZjNk","130760063",20.014064,-99.331663,"1307600220059006",20.038569,-99.340246,"2023-12-24T19:16:13",1010,2.67
"M2E5Y2JkaTl0amRiZDpkbmw3NG9hbjdocTVl","1305101361541003",20.079296,-98.732822,"130510577",20.072129,-98.73986,"2023-12-09T17:01:10",377,242.35
"M3V0dDJobmRkY3FnMTp1cWtqMmVkN2d1Mjk=","1308100010307023",20.640414,-98.663943,"1308100010171001",20.649598,-98.648064,"2023-12-03T18:10:40",476,29.97
"MmtoaHNqYjU3bG43bjo1NWEzN2UxM2luaWEx","1305000010048018",20.244219,-99.183605,"1305000010067012",20.24555,-99.196351,"2023-12-09T20:33:16",439,6.11
"N3BlbHNqdW5sbTdtZDo3amIwOTFsaWdzbmdp","130690016",19.875791,-98.982031,"130690016",19.875534,-99.000914,"2023-12-09T19:37:50",1772,1.84
"OHM1NDg4azJzMzBuMjphZWtya3ZxaWw2ZHA1","1304800011387003",20.11852,-98.768828,"1304800010980036",20.107019,-98.748057,"2023-12-23T19:34:07",804,1
"MWJvMGV0dnFnYmV0Yzoxbzk2dnBrYmJwbmZx","130520080",20.038569,-99.014776,"130520080",20.036294,-99.01469,"2023-12-02T18:41:10",109,188.05
"ZTdiNHFmOG1iYjhhMTo1ODE1MGxoM200MjQ1","1300300010175032",20.274646,-98.94933,"1300300010368001",20.275204,-98.941476,"2023-12-16T20:09:11",203,3.43
"OWJvcmhhYmI2YjM4MDo1OW00bDMxbmVyNjIw","130760001042A040",20.059726,-99.332736,"1307600010237023",20.067322,-99.346125,"2023-12-17T18:05:22",635,32.69
"ZTd2dW82b3Ywb2Q4MDo1NTB2M3RhMWF1NXI0","1302900220044016",20.355542,-99.625719,"1302900010260017",20.372407,-99.64752,"2023-12-31T17:30:42",761,91.13
"NnVyY2p1aG85MGlsYTo3bGk0ZGc1OWh1MWZi","1304500210014001",20.188687,-98.641927,"1304500320014001",20.180361,-98.645833,"2023-12-30T19:15:46",485,13.83
"ZWc4cXUxZzAxOHM5Zzpma2FjamJtNGI4MWps","1304800010355003",20.110838,-98.719261,"1304800010980029",20.111139,-98.738272,"2023-12-30T18:32:13",869,8.57
"ZTdjNzdyaDBucTdudTphZzRrYmRoaTBiMzI4","1307700010516017",20.076377,-98.375251,"130770164",20.072386,-98.392761,"2023-12-16T20:24:20",411,4.42
"ZXJvazJjYWtxbHBhdDoxcXR0N3YzbTU1OGQ1","1304800010158007",20.123413,-98.730547,"1304800011067009",20.126245,-98.718016,"2023-12-17T20:15:12",354,4.01
"OTJpbmJic2NyMWEybDo2N2ljOGZrdTM5N2tv","1304800012402001",20.118306,-98.745224,"1304800012417032",20.114229,-98.744366,"2023-12-02T18:18:41",155,4.91
"ODFpZXMydTU4cGl0bDo5MHQzamdiZ2owdnZw","130760044",20.0611,-99.363034,"1307600010237014",20.059769,-99.352562,"2023-12-23T18:31:44",272,8.27
"YzNhZ2YxdjE1ZW9oOjRucDk3ZzB1OXZwYXU=","1304800010622038",20.0614,-98.776166,"1304800013078042",20.053933,-98.802173,"2023-12-23T18:38:26",1327,4.58
"Mm1rdWFrY2dicjN2OTo4NzNvbm0wczZpbTFo","1304800012510066",20.076463,-98.791187,"1304800011974008",20.098007,-98.787668,"2023-12-10T18:57:31",919,10.01
"NWJ2ZDFrY2xtdGswbDo0ajc0bDlkYWgzZGFt","1303000010223001",20.476305,-99.216778,"1303000010365013",20.480168,-99.212916,"2023-12-24T17:24:47",187,25.29
"ZGtjaW1wbDYzcjZtdTo2Zjc5OGZya3ZlbDE5","130690016",19.871285,-98.957226,"1306900501137005",19.873517,-98.979328,"2023-12-09T18:41:27",700,11.57
"M2o3MmRidDRmajA3cDo5ajEwcHY5ODlkcWh2","1306900420660007",19.85678,-98.938429,"1306900420603020",19.863131,-98.935554,"2023-12-10T18:43:20",219,40.26
"YjRhYXBvb24wMGcyYzozdHVhN3M3ODgzc2tx","1305200010288003",20.116632,-98.89796,"1305200010273016",20.098221,-98.881438,"2023-12-24T19:39:57",592,5.85
"N25uOW11OWpwMXJmaTpjYWliZ2k5bDRkZDIx","1306900051086018",19.852746,-98.954136,"1306900190410027",19.842832,-98.951175,"2023-12-17T20:25:07",559,12.45
"c29ldTdiazRnc2diOjNjYzZxbGZuZ2Vjam4=","130690044082A041",19.874761,-98.95993,"1306900440798038",19.88373,-98.970401,"2023-12-03T20:02:17",539,4.33
"MzRkcTlpcG1tNDhndTozOGMzZnRnZ2VsaWI2","1307700100446052",20.106804,-98.415678,"1307700100446052",20.106847,-98.415635,"2023-12-10T20:18:14",814,7.43
"N2tnYmI3NmgyOTllaDpkc3ZjYXFjaHRyY29u","130830068",20.018399,-98.80861,"1308301330477012",20.007713,-98.786252,"2023-12-23T17:20:17",600,9.51
"Y2dwOWUyMTViaW5obzo0azU5dTBmbmpwcDQ2","1306100020427001",19.776313,-98.568714,"1306100020465009",19.768202,-98.580129,"2023-12-24T18:22:41",519,14.24
"YWxzN3ZmZ2g2MjliMTo1cmtrNWFhMW43ZDI=","1308100010307020",20.636938,-98.662484,"1308100010256012",20.660455,-98.65463,"2023-12-02T18:20:48",715,35.69
"NTgydTQ3dWNpcDlkbTo2cTZwcWIwMHRpczgw","130540013",20.294988,-98.983791,"1305400320136007",20.302413,-98.994477,"2023-12-02T17:35:39",722,25.98
"NWRqdHY1dms3cGFqYTo2cmJqdWgxM2lhdmxj","1306900051086017",19.854333,-98.953707,"1306900051067045",19.860599,-98.952892,"2023-12-10T18:39:26",294,16.16
"MzMydmU3bXBvdTRzbToyaHBrY3E5ZzJvZ2Vu","1301600010099012",20.051057,-98.33328,"1301600010050005",20.036123,-98.312252,"2023-12-02T17:16:19",712,22.12
"NThwNmxiMXFxbW1kZzpkZDhzbTRwMDNqYzd2","130690044082A017",19.875147,-98.956883,"1306900501175012",19.866564,-98.973491,"2023-12-09T19:36:20",607,9.84
"MTg0ZzZ2cWczYmZyazpwcGc1Z25tZW5sNXQ=","1304800010764014",20.108135,-98.777626,"1304800012120005",20.126073,-98.769858,"2023-12-24T18:28:18",868,48.07
"ODdrM2ZpamRlcmZndDplN2YxNzhxbWFkOTNh","13038001A",20.268252,-98.769257,"13038001A",20.242288,-98.773291,"2023-12-16T18:44:48",1119,15.31
"NHVtNmJsZW85azNjNjpibzk1cDlzaWpxMG1q","1302800010475017",21.150548,-98.398597,"1302800010193022",21.142352,-98.419497,"2023-12-10T20:25:48",550,24.78
"ODkzajhlbWIybWpmNToyN2xwMTdoZGNwc2hj","130120032",20.321338,-98.740332,"130120032",20.30679,-98.723209,"2023-12-17T20:30:26",655,64.54
"NGs4MWM0YjVtaXBkOTpucmw4b2ZqZjgxbmU=","1304800010919040",20.119679,-98.763249,"1304800010919040",20.119636,-98.763206,"2023-12-09T18:45:06",779,2.5
"MnA4bW00NzBqbDFvdToxdTBvM2J1ZGRnNmJj","130610002047A015",19.779189,-98.568285,"1306100020484024",19.779189,-98.57661,"2023-12-30T17:26:06",237,40.89
"Y3VzMmZpM2wzYzhjOTo3b2F1bGtpaGNpdDZl","1306300010309012",19.904544,-99.337156,"130630020053A029",19.916689,-99.318659,"2023-12-31T20:12:12",638,20.99
"N3BybGM2MzdrMnJrOjVzaGlyNWYwMmNndTA=","1302900290311008",20.372064,-99.816434,"130290063",20.358975,-99.827249,"2023-12-23T19:38:01",691,9.19
"OHNxanQxN29sYW1qNzo4MzdyZjdxbGYxZXQ5","1302800010206019",21.14188,-98.421471,"1302800010206009",21.138875,-98.421557,"2023-12-30T17:37:28",79,33.19
"MXJvZTVvMWl1cWllOTo1b2VocHVtNXFrNW85","1300100080039023",20.13427,-98.443701,"1300100040039014",20.145514,-98.44383,"2023-12-31T20:52:06",390,4.52
"ZnJ0cGJva201cTlpbjplcjM4cDNoaGdqNnQ0","13053004A",20.389402,-98.198826,"130600010",20.386269,-98.178957,"2023-12-09T18:06:52",1574,197.44
"MmlnczQxOThobzh1MzpkNTRyMzUzN3JvcW82","1304600270098013",21.168358,-98.657377,"1304600270331002",21.179216,-98.654974,"2023-12-31T18:55:07",346,209.91
"MTVvNWRsNmo1amN1NToybGppNXVqMWZxbm82","1300800010097037",19.712884,-98.445075,"1300800010097037",19.713185,-98.444731,"2023-12-23T18:34:23",466,17.98
"OXMxYWxwbTFnY2MyYTpia2xpMWUxdjloZmtk","1304800010834020",20.129421,-98.730505,"1304800012417002",20.115559,-98.745954,"2023-12-02T17:25:23",594,10.11
"MnUwY3V2M2p0N2NsZTpvMXNvdTM0bmUzZmc=","1307700010501012",20.075176,-98.384607,"1307700010713001",20.07642,-98.366754,"2023-12-02T18:45:50",613,10.45
"ZG03NXFycWFtaXNvMDozdmNvYTlta2g5cGEx","130770164",20.068395,-98.440311,"13056015A",20.058868,-98.424089,"2023-12-02T17:25:19",854,31.11
"MjBib2Z2MTZkZTJtcjo3dGozcjRwajk3OWgx","1307600080453041",20.074661,-99.322221,"1307600080932022",20.067108,-99.323723,"2023-12-03T20:45:53",284,5.65
"YWJwZTdzdmFjb3VrNTpvNnVoNGJmNTB1ZWM=","1302800010210024",21.133983,-98.429368,"1302800010507017",21.135056,-98.408339,"2023-12-24T18:53:54",697,102.35
"ZGh2Zzdvdmg3dHFndDoxNm5kOTYyNGdibWo5","130440021",20.26705,-99.667518,"130440021",20.244391,-99.656146,"2023-12-09T19:42:10",849,21.12
"MmM1b2g1Ym0yOG90NjpvcG44M2Z2YXV1Zmw=","1304800010622036",20.059512,-98.77857,"1304800013078028",20.052388,-98.803761,"2023-12-17T17:31:44",1245,6.51
"MXFsMW9xczUyNnNlNjpiY25obHZhdG1mb2k=","1304800012760015",20.127189,-98.716686,"1305100201170003",20.100925,-98.7169,"2023-12-30T17:42:19",735,17.25
"YmEyZTlyNWxwNHZvczo4OTd0Ym5idDQzbjMx","13036002A",20.508449,-98.587339,"13036002A",20.506217,-98.589141,"2023-12-30T17:58:50",93,118.7
