"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"M3Y2b2FlaDlydDBrazo4YjBiOWphamt2Y2V2","1305101471630030",20.108178,-98.723509,"130240048",20.221088,-98.562105,"2023-12-24T17:38:13",1816,144.56
"Y3VxYWFoamRwNmJvaTo0NWNuYjVoMGo5dml2","1307400010177018",20.091999,-99.219997,"1307000010036055",20.123541,-99.223559,"2023-12-03T17:35:35",259,36.12
"OWtsZjRvczFuamJzZToxcjFvNTdobjM2YjZp","130150015",20.62093,-99.142749,"130300026",20.489223,-99.196994,"2023-12-24T17:30:07",1493,34.39
"M2U2bjc3bW9kN2tqZTo0cG04ZWJlbzcyZGRn","1307400010177018",20.09187,-99.219182,"130670011",20.228298,-99.24875,"2023-12-09T17:18:29",1254,48.89
"ZjV2dXNlc3NqbGlsczozZ2w5c3RicnM0Y28x","1307400030139029",20.119507,-99.201114,"1307400010162032",20.081699,-99.225876,"2023-12-30T17:54:32",455,85.19
"YTl0OGY0ZGNtbWxnZzo1YWJrZHAxdWlsNmlo","1304800011071013",20.122426,-98.720162,"1304800011071013",20.122511,-98.720248,"2023-12-03T19:00:58",762,20.59
"MmcxNDI2YmNzdWo2Yjo5MTBvbjZmOWxjM29s","13038001A",20.220273,-98.72514,"13038001A",20.227182,-98.72956,"2023-12-23T18:09:13",174,307.57
"YmVhM25qa29yb2NtNjo3OXQyamtlNG40M2dr","130730023",21.047981,-98.615191,"1307300010127001",20.989616,-98.65845,"2023-12-31T20:40:15",1898,178.53
"YmNqMjE4b2d0MTdzaDpmMXFwcGlla29rN21w","1305101331522012",20.115774,-98.713338,"1305100931306006",20.097234,-98.704498,"2023-12-02T20:01:54",242,11.92
"NHYzMnFpZ3YxdWV0ZjoyMmEycTA2MGNkNWZr","1306100010304020",19.790175,-98.556182,"1306100020450018",19.765327,-98.579443,"2023-12-10T19:09:08",385,29.18
"OTdpamd2cXRoOW5odjo2NnM4b3ZzMXFwaTQz","1302300010040019",20.247095,-99.089062,"130230017",20.251343,-99.078548,"2023-12-24T18:20:12",178,18.85
"MXRpdDJxc3R0NGVmNjozOWs4NWYzdG0xZHA4","1306900100529026",19.870598,-98.931992,"1306900010317026",19.843605,-98.981345,"2023-12-24T18:17:11",520,23.82
"YW1wdXA5ZHBzNmltYTphYTlvOWczdms3Z2dr","130510078165A025",20.054276,-98.759215,"1305101411895004",20.060284,-98.769,"2023-12-31T19:12:21",107,10.22
"N2luMTIxYmJpYnM2YTo4ajYwdWtlNmFrbThp","130150015",20.606039,-99.118588,"13015002A",20.632904,-99.083397,"2023-12-30T19:49:16",587,97.61
"YW5vNGtjM2x0aDNhbTo1Z3ZiMTFiNW1ub2Nw","130030033",20.313013,-98.924482,"1300300130033042",20.31297,-98.916242,"2023-12-02T17:12:09",429,74.15
"MTZzY3VqMDducnJyNzo5MG5waW1rNDFzMm1n","130090018",20.20272,-98.904269,"130090018",20.198858,-98.903668,"2023-12-17T17:49:10",75,38.63
"cDIwanRsOW5qdjdyOmY4NGM5cjluMWFyaHY=","130770001022A027",20.09938,-98.362978,"1305600010215010",20.037668,-98.352935,"2023-12-31T19:48:11",537,61.15
"N28xMGlncXIwNDBtczpnZWd1ZHFyMjA1cTk=","1307700201105025",20.146801,-98.281009,"130020040",20.141523,-98.139174,"2023-12-23T19:20:55",643,114.96
"OXQybnBldG50amF0YjpkMnM0Mmg1Nm43ZHZr","1308100010167016",20.64419,-98.654501,"130790050",20.720408,-98.705485,"2023-12-31T17:47:14",1082,218.27
"ZWM3MGYzZmlxYjc4Yjo0aGVyMmVhNWlvcnFs","1304800010139006",20.12573,-98.737071,"1304800010228005",20.119078,-98.726985,"2023-12-16T17:51:04",189,15.91
"OWU1bmdibTY5dWZpZDpjbDE1cm9rbzMyMGtt","130190014",20.406954,-99.234202,"130190014",20.395238,-99.223859,"2023-12-10T18:16:22",294,111.39
"YjRwMGRxMWtjcDB2ZTozbzhpNDhycThlbHBo","1305100010204040",20.067451,-98.684542,"13022001A",20.059898,-98.603132,"2023-12-09T18:51:07",585,11.88
"ODFzMmEwM2ttYW8wbjoyazY5OHJvMjBybWI2","1306100020499005",19.775498,-98.58,"1306100010323004",19.782021,-98.55099,"2023-12-10T19:57:01",357,16.1
"NGh0YjFzbGxxOTRmaTo5bzdmcTJ2c2oybjlw","13030005A",20.463817,-99.19575,"1303000010399024",20.468023,-99.225276,"2023-12-17T20:28:23",383,51.98
"ZWliajBvdDVzbzhnZzo5dW8wZW5udWwzdDJn","1304800010285018",20.131438,-98.748529,"1304800011550027",20.098264,-98.766983,"2023-12-09T17:16:42",434,17.15
"NWlodHBiaDJ2b2JldDo0ZTliYmVzanFuczFi","1308300010195007",19.913213,-98.667505,"1304800010177014",20.113628,-98.749473,"2023-12-10T17:24:46",1490,22.65
"YXJhZDNwOWc4dTAwaTo5Y3VwbTlrazQ2NWlp","130140018",20.92005,-98.590043,"130620034",21.009657,-98.843329,"2023-12-10T18:52:44",5783,2488.27
"ZTRxZjBmc2JpdWtsaTpkY2ZtNG10YnNkZm5v","1304800010976032",20.103843,-98.762348,"1305100831946013",20.031617,-98.710678,"2023-12-10T17:23:40",957,12.27
"Y2U2OWV2NGV1YmhsODo4b2c5cGJpaHE0MW5q","1307700010111028",20.080669,-98.369286,"130350018",20.316489,-98.331091,"2023-12-02T18:10:10",2219,11.71
"ZnFpY2htYXNramQyMjo2cnNlMGk3NGVpbTQz","1305101482198003",20.047066,-98.711107,"130610002054A030",19.758332,-98.588712,"2023-12-09T19:51:19",2247,12.11
"MWYzZzUybmk0Z2hrNTphOThjYWVwNHNvbW1r","1301000010042038",20.044534,-99.209397,"1301000060273026",20.057194,-99.198797,"2023-12-03T17:02:41",346,39.68
"OGJiNDllYXAxdnRnbjpjNGhsOTlwNWNqaGFw","130180021",21.166599,-98.937056,"130180021",21.17368,-98.917358,"2023-12-24T17:54:06",701,830.58
"NWoyZG51cmZqMGw3bzphNjBtbG1qNmM0NWk2","1304800010158008",20.124314,-98.729689,"1304800010976047",20.10762,-98.748744,"2023-12-17T17:08:50",278,28.21
"MnBncWszcXY0amxodjo0bHIxNHUzbGVydXJ2","130770001047A010",20.09496,-98.370702,"1307700010501049",20.069125,-98.387697,"2023-12-10T20:01:42",374,9.82
"MjA4Y2Q4cjdrbjExbTpkNmlwMjRicWZmbjQy","1306600010048029",19.888065,-98.81685,"130660014",19.897034,-98.777196,"2023-12-02T20:24:36",1264,10.64
"OWEwZ29rNWFtbHFhZDozaDR0N3I0YWcxZ2to","1305101101749005",20.060456,-98.772519,"1301600010084001",20.031359,-98.312209,"2023-12-16T19:55:26",3122,9.44
"OW90NGdxam5oMWRuMTpiZ243ZHVic3BnYmgy","1302900290148005",20.38408,-99.806907,"1302900090063011",20.389488,-99.760816,"2023-12-02T18:43:05",391,91.57
"NDI4OG5qbGkzMjRzaDpjb2hlMDhtOXM2amVr","130482671",20.027883,-98.77784,"1308301020161025",20.023763,-98.79638,"2023-12-24T18:50:32",333,12.43
"MTMxYnU0Y2t2YXFyZzozdDNldmZvYWk3NXY=","1302600010023015",20.978158,-98.506916,"130260019",20.969188,-98.542063,"2023-12-03T20:24:21",799,2409.35
"MTBtZ3VsNzM2bjNnYTo2Y3NsbHU2Zmg4c3Fq","1300300010279016",20.264819,-98.942206,"1300300010118035",20.277779,-98.932593,"2023-12-09T19:27:17",286,32.38
"OHBrdGptNHJsMHU0ODozbThiN2FpaTEwbG1l","1304800010745007",20.101826,-98.771832,"1304800010923035",20.119035,-98.764279,"2023-12-24T19:13:08",339,4.1
"ZXNydXJtOGkyZW1wcToyYjlpNm0wZ3ViYWs0","130120066",20.27559,-98.647506,"130120032",20.324471,-98.742006,"2023-12-30T19:19:14",1028,111.92
"MzAxaGZhcDNjNGVtODpiZ2RtbGpkNmxrN2dt","1300300120086031",20.281513,-98.963406,"130540013",20.341036,-99.029624,"2023-12-31T17:45:56",567,49.5
"NDlzZnE2M2dvdWkzNTo4OGZkbzFhMzN1dGg=","130610022",19.816782,-98.49623,"130610037",19.757903,-98.529103,"2023-12-23T18:58:14",1304,2.75
"ZjFnM2dwZ3RkNmc1bzpjMHR1ZWpnNm8xdDdx","1301300010078024",19.995139,-99.226005,"1301300010133019",20.009987,-99.221499,"2023-12-23T18:58:53",227,21.36
"YTk4MW1ldTFjazVzOjFtY2s1c2lxY2JzMDI=","1307700010338029",20.070026,-98.370016,"1307700010060005",20.083201,-98.361347,"2023-12-17T17:57:50",273,8.64
"ZmNkdml2OWltOXZhcTozcnM4Ymc4Z2VqczRz","1307700010592036",20.079339,-98.352077,"1307700010060018",20.084617,-98.361218,"2023-12-09T18:06:08",125,11.18
"OGE0a3A0azRnYm8zdDphZWZnZ2M5NmJza20y","130840065",20.755641,-99.364665,"1308400010224030",20.739849,-99.376981,"2023-12-09T20:27:08",430,44.02
"YnJpZXExb2psaDZpazpkdDk2NGlyMmVxaGNx","1306900010162004",19.846051,-98.974736,"1306900051122043",19.855964,-98.967097,"2023-12-30T18:51:42",187,15.81
"MTVmcTlmMGdza3JuazplNnZkdnBycjZyN2h1","1300800010063014",19.707348,-98.449023,"130070028",19.689453,-98.332508,"2023-12-17T17:01:42",878,40.56
"bjRqNGYxcWhkc2RpOmI1dm50bnNwOWgzN2s=","1306300010309040",19.901669,-99.337671,"1306300010084022",19.892957,-99.345953,"2023-12-03T20:30:02",220,40.83
"bDdjZjYxZDdsMWluOmVqMmc5cGdmaGNsa3U=","130130010",20.005438,-99.245317,"1301000020080054",20.051315,-99.227164,"2023-12-10T17:43:15",505,21.9
"ZmkyM3Z2dTk0bTVocTpicWo2YzBwc3RsdXMz","1304800011048012",20.110753,-98.769944,"1305100121132027",20.12058,-98.697031,"2023-12-30T17:19:11",604,43.5
"OXJrc202MWplMGppcToybmlqaHNlNDZramQ2","1304100010104001",20.227396,-99.205148,"1305000010048028",20.24658,-99.182489,"2023-12-23T18:43:14",334,13.58
"NWMxczN1OTQwb2xlYToyYjM5OHNobTltMG9i","1305100010204011",20.071399,-98.698618,"1305101461626037",20.095475,-98.707716,"2023-12-23T19:04:41",371,10.82
"NjE5cG9mYTQ4djlsODozMmJ0ZjI5ZjM5Z25p","1304800012351018",20.098994,-98.752692,"130510078165A007",20.05595,-98.756125,"2023-12-09T17:29:25",345,139.58
"YWFoOTg0dWttNXQ0aDo2M2M5YTAwNmg0bW11","13030005A",20.479782,-99.2009,"130760025",20.072773,-99.311922,"2023-12-09T20:12:08",3142,16.55
"NjBmNjExNzRnZWFmbzoxYmMyOW84ZHM4Mmk3","130760001042A063",20.060112,-99.331105,"130760001042A044",20.060155,-99.331148,"2023-12-02T18:14",540,43.64
"dGZwdjNuM3I2djRvOmU3am5paHFvbG11ZXQ=","1301000010023040",20.049856,-99.213989,"1301300130256009",19.990761,-99.201672,"2023-12-10T20:19:15",546,45.31
"NGcwdDdvdGNoZ3JhOTo1ZXNpcTVpZGQzMzRo","1304800012008004",20.096204,-98.783634,"1304800010389026",20.106204,-98.763678,"2023-12-16T19:49:58",339,5.9
"ZmUxc3VwczJnNGl2MjoxOGw0OWtjOXEydnA4","130820022",19.97956,-98.849037,"130750032",19.997671,-98.913109,"2023-12-24T19:48:05",1060,52.23
