"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NHY1Mjc4ZjE5ZG9vajo3bTN1YnU4NGVjaWw=","1308300010195017",19.914715,-98.670809,"1308300010157001",19.918234,-98.676002,"2023-12-30T17:55:07",694,14.62
"YjVlMzY0a2JzMmczYzoxZ3I0cXQxcjVyZHRy","130690044082A044",19.874976,-98.960617,"1306900440834023",19.874761,-98.960745,"2023-12-02T20:01:15",329,13.24
"NHNlYWtrMjI0bTZnOmVmcTNsaTYyYTgzZ3A=","1307700201088009",20.156715,-98.269594,"1307700201092017",20.149419,-98.267448,"2023-12-30T19:32:31",819,64.89
"N3Q0MTk2dnU5bTNhMjo2azY5ODVhbDQybnNl","130460030",21.234319,-98.538716,"130460030",21.234448,-98.539016,"2023-12-09T17:35:59",424,1849.89
"OW5rOWw2YjJlZ3N1Zjo3bmswNnJicG5iOW9n","1307600220222023",20.030072,-99.334109,"1307600220523016",20.038311,-99.334109,"2023-12-09T17:56:37",1338,51.36
"OGU3Z3ViN2tpNmw4cjpmb2Q3aW11cnQyOGI3","1306300010258033",19.905059,-99.341576,"1306300010120022",19.912655,-99.336898,"2023-12-31T20:40:18",1026,48.21
"YTBkajBsajk2cmZhOjUzNDliZDE2bDFjaGQ=","1306300170027029",19.942653,-99.382303,"1306300170027029",19.942782,-99.382432,"2023-12-31T18:43:53",234,20.82
"OHIydDg3czZsbzNsdTozY2dkZXB2dXVyNWdj","130250026",21.038239,-98.28337,"130250026",21.045835,-98.285129,"2023-12-03T18:54:06",769,197.44
"Nmloa2drNWUwdGkwNzo4a2swOW9lMTkyZnFo","1300300150090003",20.256279,-98.933365,"1300300010283007",20.25924,-98.940532,"2023-12-09T17:53:25",848,19.52
"M24xdDk4Z25sNTBtazoxbTNuamg5ZGdnNjkz","130440036",20.202892,-99.583275,"130440036",20.19933,-99.584863,"2023-12-17T20:48:34",927,26.44
"YnBpcmVoOWlkaWxvZDo5YWIyNm1jdTV0NWlr","1301300290400033",19.895146,-99.236863,"130130044",19.888794,-99.237936,"2023-12-17T19:40:14",1309,75.99
"MzJlYmpwdnQxN3ZtZToyOTcxNG9tZzlzNTBl","1306900420622024",19.881113,-98.936498,"130690016",19.879439,-98.927228,"2023-12-30T20:44:07",1599,21
"OTFhaG10bGcwcTF2ajoxc2syYWxzZ2JqNTlq","130530020",20.441973,-98.202775,"130530020",20.4409,-98.20153,"2023-12-24T20:12:41",313,1756.11
"ZG1tamlwdnEwNGM1Mjo1cmplcXY3a3BvZmY0","1304800010139013",20.12573,-98.740203,"1304800010158022",20.122726,-98.732779,"2023-12-09T20:04:16",950,5.04
"dWQ4Zm03bHFydHA4OjFuaTJwc2ZrMzY0Yjg=","1304800010209010",20.117147,-98.737199,"1304800012417003",20.115688,-98.745611,"2023-12-30T17:28:46",1103,12.56
"ZDBydXIzYTMxaWNrcjphcmlndjc0OHNjaXY0","1305000010048031",20.245335,-99.191201,"1305000010067046",20.247266,-99.196136,"2023-12-09T19:26:25",446,11.68
"YzE4ZWZ0aGZzdGFnczo4bTdrcXE2c2xpMGo4","130700002013A032",20.125773,-99.201715,"130700002013A013",20.132124,-99.20223,"2023-12-24T17:00:58",661,49.39
"OG45b2ptcHJvcnQ4ODo0bzBxNjJyZTQ3djJj","130760008067A027",20.066078,-99.320204,"1307600080932023",20.066507,-99.323509,"2023-12-24T19:51:26",264,9.75
"Y2l0cjg4bzVxbDFxYzo4NmxnMmVobWJtanRn","1306900420548009",19.869182,-98.937142,"1306900420552008",19.868324,-98.938172,"2023-12-03T19:44:39",218,7.9
"NGg0anE0czNlZWEyOTpiZGNsbXVnODlla2tk","1308301330320024",20.018871,-98.790329,"1308301330320024",20.018914,-98.790371,"2023-12-16T20:03:42",8,1
"OTI4NjF2MHNwM2hlYjo2MWc0ZGU5cGhoN2ds","1304800010389026",20.105903,-98.763635,"1304800011048032",20.106847,-98.766339,"2023-12-23T19:20:57",419,7.55
"ODVjZDMxMzBpbnVsdToxdWUwbHRyZHVlNjAw","130770183",20.146844,-98.28603,"1307700201105029",20.146372,-98.281267,"2023-12-24T18:13:04",1087,183.37
"MWxlbjdqc205c2twMDpmNnAya25hYTNrOHI0","130350022",20.23761,-98.373063,"130350022",20.232418,-98.372419,"2023-12-10T18:12:50",755,77.6
"ZWczczV0OWhnM2hocToxbGMzMHB1bnAxdWsy","130390017",20.111439,-98.611243,"13022001A",20.107534,-98.60635,"2023-12-17T18:39:53",882,29.75
"OXJrMmZvYWcyMWRoODpkc2g1cG9jMTQ2dmM4","1306300010385015",19.927933,-99.342263,"1306300010385040",19.925873,-99.343164,"2023-12-17T17:19:31",663,71.65
"NDlxcnBpODU2c2N0ZjplbGE2Mjk4cGljcWZy","1301000020095001",20.061657,-99.232786,"1301000020108013",20.06655,-99.236691,"2023-12-24T19:39:15",664,53.4
"OTRuM3EydGZnY2c3MTppMzgxdDM3cmIzOWY=","1304000010041017",21.101067,-99.123952,"1304000010041009",21.098406,-99.123695,"2023-12-23T17:04:22",254,146.26
"OGZiOThkcjQ3ZDRtYjpkZXJ1aDY2YmhtdGdo","1301300290364007",19.89639,-99.228966,"130130029035A030",19.894717,-99.227164,"2023-12-02T18:44:13",522,91.83
"YW1zY3FnY2RmMm1scTpkNjVyM2lkb283djA2","130800028",20.973995,-98.393061,"130800028",20.971849,-98.397396,"2023-12-02T18:40:37",655,349.44
"OW90ODB0bW52ZzJwOjN2anZhdmc2MTFhNHA=","130230017",20.248511,-99.038851,"1302300120055035",20.250142,-99.036191,"2023-12-24T19:40:50",314,22.03
"ZmhpbzY3M3FucDl0Zjo1cmlmYWV2c2dwbWZ1","130570053",19.953425,-98.538888,"13057002A",19.957802,-98.543909,"2023-12-31T19:21:06",770,425.12
"N2RvZzhoYTBhY2Robzo2dG9kNWdnczVuY2J0","1306900010340005",19.825323,-98.982031,"1306900010088034",19.829614,-98.978984,"2023-12-30T20:52:40",568,5.67
"Y2xnM2gydms1bW0xOjNrNjk1MGM5Y3AxMGE=","1300900010145005",20.219929,-98.91504,"1300900010130002",20.224349,-98.913624,"2023-12-31T19:27:59",538,8.26
"MnEzM2VpaXBkM2piNTpqNzVvbWtub3N2NWU=","1300300010349021",20.2719,-98.945854,"1300300010349015",20.271342,-98.940232,"2023-12-09T19:21:07",550,6.24
"OG8zbHJvOGNjOHNnbjphZW9saTNsZDVvMWF2","1306900440730041",19.876649,-98.968985,"1306900440730012",19.876435,-98.968942,"2023-12-30T20:17:46",529,671.81
"M2xsY2NkaTRuNTg2bjpmOTJ1MzI4ajQ5MTU=","1308400010192006",20.733669,-99.381101,"1308400010224028",20.73869,-99.377367,"2023-12-30T18:46:23",850,166.89
"YmxwdGFkc2FtMmJqYTpmN282NGt1M3Z0MXRj","1307600010400030",20.058095,-99.340074,"130760001042A059",20.059984,-99.334753,"2023-12-17T18:32:10",1480,13.02
"M2ZtODg1a2hkM2FrOTpkOTl0NzNzczdpNmVj","1305101301842009",20.067022,-98.76827,"1305101301842009",20.067022,-98.768356,"2023-12-03T18:21:09",647,9.49
"NHVydW9pbjluc3FkYzphYTB2NTU3MDNiczdu","130670011",20.182679,-99.30763,"130670011",20.177829,-99.309218,"2023-12-09T18:45:19",663,37.65
"NTI1aDBsZHBkZ2wwbzphbzRwY3E3N282NWFv","130770001054A048",20.100796,-98.356111,"1307700010022035",20.092299,-98.354094,"2023-12-17T17:22:25",842,27.13
"M2V0c284M2xkcHM1Nzo0Z2NxYWl0czgxdm5t","13038001A",20.180705,-98.751962,"130380007001A012",20.180318,-98.759472,"2023-12-02T18:43:55",698,10.25
"OTQ2ZzUwZzJlbDVtNTo4NTY0YjRzcW9uZjg3","1305300010073010",20.396869,-98.196809,"1305300010073033",20.399272,-98.199642,"2023-12-23T20:22:45",422,78.17
"Zmo1MzZmZTRvYmp0aDoyOWJkamg1aW1qZmo=","1300300010175026",20.274518,-98.950531,"130030001018A008",20.270655,-98.95272,"2023-12-09T20:40:46",764,26.82
"OHFhbmZ0aDd2bGhnNTpjMnFzOGx1Mm9vbDJh","1308301330320024",20.018141,-98.787453,"1308301330320024",20.01857,-98.787625,"2023-12-02T17:43:46",774,23.27
"ZmhuZTNoc3NqbDJvMjplMDcyOHVsNHJsYWE4","130780015",20.868809,-98.311522,"130780015",20.868766,-98.312938,"2023-12-31T17:38:27",317,2303.64
"M2FzY2Jqc2g5cm83MzpmcTRyc21wbTN0NTk1","1304800011423006",20.056379,-98.783419,"1304800011423006",20.055392,-98.779857,"2023-12-31T17:34:41",343,7.36
"NzFrbGtlbGluM2czcDplcGJxczVnMWdob2U0","1304800010995040",20.105646,-98.746984,"1304800012347018",20.105989,-98.752906,"2023-12-24T18:48:57",619,701.87
