"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"MTE3N2Nsa3VlaTN1ODphMzBjdGFtcTE4N3Bq","130280051",21.1257,-98.462455,"1302800010263026",21.140635,-98.413446,"2023-12-28T08:58:13",360,96.65
"MzgwZmFqZ3FwZnMwNjpjbDkxNjBlNmprN2Fp","1304800011565002",20.090411,-98.778141,"1304800012741001",20.086892,-98.750761,"2023-12-25T09:22:30",290,7.92
"NDZ1cjIxMXAyMjIyazpsYmZrYXVkcWtra3E=","1300900010130007",20.224564,-98.914568,"130090018",20.205381,-98.888304,"2023-12-29T11:17:56",356,27.14
"Nm9mZTJxcTdqa21oZTo2ZzRoODNiOGRhYnJr","1303000010242033",20.490339,-99.210169,"130300026",20.489395,-99.199011,"2023-12-12T11:38:16",147,514.91
"ZGRjZ2hvMmVoa29oZToxNmcyOHAxanFubGJr","130770001022A002",20.096719,-98.363578,"1307700010605002",20.073073,-98.36478,"2023-12-11T09:19:52",256,2.81
"MXZjMTRlMDJvc2ZrcjpiZmw4NG9pNDJwNnY4","130520019031A007",20.15856,-98.801186,"1306900420552036",19.866908,-98.939288,"2023-12-25T07:51:47",2293,63.27
"ZnFzbzlxam9hNDNiajppZTFiZ2dnbTJ0dG4=","13038001A",20.213706,-98.724797,"1304800010548006",20.0826,-98.780158,"2023-12-15T07:40:03",2255,166.19
"N2llZDMyaTEyNmlhMjo2YTRiNXR2OHN1MGM3","130520038",20.11101,-98.944695,"1305200010292011",20.115173,-98.885558,"2023-12-05T09:57:35",457,104.58
"OGxsaDhtb2Npb2xtOTo5dGFncnFtNHRucDA5","1303000010223023",20.478151,-99.214718,"130550044",20.367386,-99.048336,"2023-12-18T11:44:09",1245,15.11
"MzJhcmYzM25ianMzazpiaWJhNWt2YmtzamRy","1304800010209021",20.120881,-98.733337,"1305100931293023",20.099037,-98.706987,"2023-12-11T07:47:59",296,11.91
