"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"NjlxMDZudHB0MmFkcDpiNTBxcDdwZzc3c3Zw","1301300290400031",19.895103,-99.237592,"1301300290364050",19.896262,-99.228108,"2023-12-15T21:45:07",340,20.72
"M2w1OW5ndmZkMjhnODphMzhubWk2bGJmMjg=","130480020",20.075176,-98.807409,"1304801532898033",20.074103,-98.822472,"2023-12-14T21:00:42",407,6.32
"OGZkb2Y2Z3MxdjYxMjpkcHMwOG50M2JiZ3I1","1306400200024011",20.188043,-99.394619,"1306400110024063",20.194137,-99.406507,"2023-12-08T22:19:57",864,21.64
"ZjJlMjNndmVsMW5ncDpjcXVqZTRqbHVhZWF0","1304800011847001",20.077579,-98.764193,"1304800010603037",20.066078,-98.775351,"2023-12-13T21:23:12",787,5.01
"N3VmZjgwdGdvZHZjbzpkbDFzY25ydDJpOHVw","130280013",21.176813,-98.493869,"130280013",21.173294,-98.503869,"2023-12-22T22:54:33",304,165.89
"NnBmdjdsZ2k0MWxhZDphcjlzanU3cGVvdmts","1300300010141003",20.26808,-98.960574,"1300300010279021",20.268552,-98.939846,"2023-12-06T21:30:06",627,3.54
"NTRhdmdhNnA1ZWw1cTpmNDQ1MWtkN3RoZG50","1302800010649017",21.136472,-98.398168,"130280051",21.152179,-98.391988,"2023-12-20T05:32:44",758,48.18
"NTg5cG9tMW1sc2NkYzo2M3I2NDdzZWZqbm4=","130520038",20.110795,-98.934782,"130520038",20.104744,-98.93225,"2023-12-14T05:27:53",232,53.7
"Y2x2cDdoN3R2NThkdTo3b2EyaWZ2N3B1MG9j","13043001A",20.883572,-99.182231,"13043001A",20.883529,-99.182489,"2023-12-12T05:24:36",804,143.14
"ZjRyYWV0OTNmanFudDpmOHNjdHY2NWE1dHE4","130280051",21.107333,-98.397095,"1302800010136011",21.128018,-98.411343,"2023-12-03T21:04:04",881,41.79
"OWduODdzbDJ0MjZsdjo4MDBwZG9qNTU3MG85","1304900010051037",21.195009,-99.006193,"1304900010047008",21.193078,-99.003189,"2023-12-22T22:55:51",131,171.31
"OHRuY2dwdmp1djR0Mzo5cWxhY250NG5mMjc4","1300500010216025",20.09011,-99.111593,"1300500010199017",20.092299,-99.117773,"2023-12-27T05:25:12",218,140.23
"OTdtOGd2MmduMnM1azoybG92ZnY3dnZzbDdu","130690002050A036",19.878666,-98.95757,"1306900440745037",19.878495,-98.967397,"2023-12-26T05:09:37",314,11.33
"NmlxNzVvZXJvZDk5cTplZWhuOHV0amswNDQ5","1304800010618001",20.064619,-98.777196,"1304800010529023",20.089037,-98.765352,"2023-12-02T23:14:58",1512,1
"YjhicjcwZXFiYjIzajo4a2Izam90bTU4M2R0","1304500220029016",20.147016,-98.612401,"1304500220029007",20.145814,-98.614805,"2023-12-04T05:18:34",146,196.71
"MmhhdGs4ZTdmdDBsOTpyNzg2b3AwOXRkN2w=","130400037",21.00601,-99.091895,"130310042",20.995109,-99.087517,"2023-12-02T21:59:20",625,289.55
"YjJtdjBpczdidGxwMDo1MTQ4NW9yZDY2OHJj","1302800010545002",21.144798,-98.42705,"1302800010263018",21.138446,-98.412759,"2023-12-11T00:24:46",438,1.12
"OGYzbTVvMnJwcWJndTpiNnI4djQ3ZWlibGpj","130830068",20.024536,-98.779085,"130482671",20.027711,-98.779128,"2023-12-11T21:49:58",178,3.09
"NjUwOGthNGY3czA1MTphYTdnMWtnNDM2czdi","1305200010269036",20.109251,-98.886802,"130520023",20.133326,-98.887103,"2023-12-09T21:29:14",817,1
"M2ljNTQwNjEwcTN2NjplMGhrajRidnJpYTE2","1306900100529028",19.87386,-98.932722,"130690016",19.863732,-98.934481,"2023-12-17T21:04:09",360,8.12
"ZHB1OGkydmRmcG1qYjplNmdoZzEwdG9nY2xm","130770145",20.137489,-98.350232,"1307700010639002",20.119507,-98.367269,"2023-12-27T21:16:07",785,1.57
"NWJkYW42NTV0NXZtNzplY3FrMzVsbDk5b2s=","1304100010142021",20.232975,-99.223001,"1304100010138006",20.22907,-99.219739,"2023-12-03T22:10:27",188,21.79
"MnFkOGpna3AxY2EydDo1bTZvZ2ttbGFla2Qz","1306900440798008",19.883602,-98.97053,"130690002050A028",19.881971,-98.955982,"2023-12-15T23:24:04",435,2.27
"N3E2OWhodnVvOTdydToyMnJtYzY4bTFxOW01","130130010",20.006983,-99.265273,"1307600110345036",20.012863,-99.27171,"2023-12-08T05:42:53",497,12.46
