"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"YzZhMjBzYm8zbWtwZTpjbHBnbmFxbWZoYWpq","1305100291202009",20.105345,-98.714755,"1304800012417016",20.115645,-98.740246,"2023-12-16T01:01:47",1181,1
"Zmx0bm9rZWZia2l2ZjpkOWN1aGlqYzR2aHBq","130280047",21.058667,-98.516014,"130280047",21.05871,-98.512838,"2023-12-23T21:31:40",122,113.96
"M2prajU0YzQxdTMyZzpmZmZzaHFsamRrMmNo","1303000010242002",20.48948,-99.218709,"1303000010204013",20.480382,-99.218581,"2023-12-16T04:49:21",241,8.03
"OHVtMWhhZHRkbnIzMDoxdHRiN2h0bThzMWxj","1301600210281009",19.998186,-98.24569,"1301600210281019",20.00149,-98.244059,"2023-12-02T04:02:31",110,102.36
"YmIwbDhibDdoZzhiOToxMmtsa2pqbnJvOGRr","13008003A",19.659798,-98.524983,"130210001007A010",19.654262,-98.54039,"2023-12-16T00:35:03",605,1
"dnIzODR2YXZwNDI3OjhudjkwcWZ2YWhxc2M=","1304800012934002",20.03093,-98.780544,"1304800011298031",20.053589,-98.773506,"2023-12-17T22:52:45",1341,2.05
"NnFlamkyNDAzYW9tdDpiNGoxbzZtMnVjN3Bj","1301000020080017",20.055778,-99.22961,"1301000020080001",20.053675,-99.228151,"2023-12-02T04:25:25",153,6.76
"MW5qMmJ0OGxlMnE0YTo1czY2OG1uMm04MW1p","1306900420656026",19.85605,-98.93564,"1306900420656021",19.860427,-98.935468,"2023-12-03T23:12:50",136,1
"YnZ1aDhkZ2RpazI1bToxMzRlZGpmM2RoNm8x","1307600010400006",20.054276,-99.339173,"130760001042A009",20.051143,-99.334667,"2023-12-09T04:33:35",162,62.44
"MjFhbWRmOHQ1cTg4ZTo1ZDRwanU3YTBhaWFp","1305100901274001",20.080497,-98.747671,"1304800010995057",20.106289,-98.743851,"2023-12-17T21:50:59",1133,3.77
"ZW02NmwwNTdtcjBwbjo1ZG5zZnU4bmcyZmJw","130480001100A008",20.110924,-98.72484,"1304800010868029",20.12706,-98.727973,"2023-12-24T23:35:39",571,2.86
"YW41N2VvZmZobjlpbzo0bnI2b2VhNGNlYjR1","130770179",20.09732,-98.344567,"1307700010592026",20.081227,-98.351133,"2023-12-24T05:42:11",647,85.38
"NGV1OHBldm5wMW9hOmY0dG52YzNzMjVpMmc=","1306900190410001",19.842832,-98.947699,"130690016",19.864848,-98.934867,"2023-12-17T04:25:58",768,3.2
"YW44Ymd1dThkZXNncTplczlzNmIwMmxwdmI3","1305101482179018",20.039771,-98.713982,"1305100831950045",20.025265,-98.705485,"2023-12-17T21:29:56",610,9.63
"ZnJmY3MwZG9icGxzOjdvNnY3cnBjaWZtMDI=","1304800011550019",20.089509,-98.771703,"1304800010779012",20.086334,-98.753808,"2023-12-10T01:51:03",1327,1
"NXJkcnNjZWhiOGZmdTpiYXN2aDdjNTc0cTJk","130540013",20.347688,-99.033101,"130550044",20.367343,-99.048121,"2023-12-31T21:25:14",1146,1.43
"Y2t0b292bWs5ZmVrbjpmcWczNTgyZGtnY3Yx","1302300140125006",20.213749,-99.065201,"1302300140093016",20.211689,-99.076402,"2023-12-31T21:45:58",393,13.53
"M2Ywc3U5bWRrYnN1cDoxZjBza2ppc2V2NGgx","1305100271062011",20.072386,-98.717372,"1305100270685008",20.062859,-98.715441,"2023-12-30T21:40:22",487,3.43
"M29tdnJjbzVjamQxaDphMW5xNTJsZGw2NTNz","130270035",20.440385,-98.070166,"130270035",20.438368,-98.068879,"2023-12-30T05:05:40",111,180.45
"NjMzYnJwcXEyaHV1Yjo0bWVvZ2gwcHNvbW9o","1306700080420019",20.199759,-99.264371,"1306700060435001",20.189931,-99.249394,"2023-12-24T21:06:21",532,13.4
"M2tyZHQ0b3NmbmV0aDo0aDdnNmRtdGJmbWZy","1307500020121007",19.891841,-98.929589,"1307500020121030",19.892228,-98.926628,"2023-12-31T05:30:58",121,75.29
"Mjk3bnJkOXI0Y2VzZzpka2IwY2hzc2Q0cm1o","1306900440834023",19.874675,-98.960702,"1306900440815028",19.876478,-98.958428,"2023-12-17T21:03:22",204,3.04
"ZG0wYWZtNGJnMDB1MTo4bW5nMTd1dHJ0ZGc3","13056015A",20.025308,-98.351777,"13056015A",20.020459,-98.36066,"2023-12-03T23:45:55",374,5.79
"YWl1dXVqcGsxMTZuNzpmdXJrbTU4N2F2NzFk","1306900010317023",19.843647,-98.979928,"1306900051067035",19.861629,-98.958943,"2023-12-17T05:30:12",801,4.81
"YTNhOWc4Z25ydGJlODozNW1qYWR1bGxuNzg4","1304100010208025",20.22465,-99.218581,"1304100010180007",20.230401,-99.205363,"2023-12-10T04:57:20",570,9.3
"YzRpMnZ2cmlmY2xsOTo5c3ZwaDF2NmIzZzds","1302800010494010",21.144283,-98.410656,"1302800010494010",21.14424,-98.410571,"2023-12-03T22:08",679,5.66
