"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"M2FkcHM4MHFkaTBoNzo1ZmkwZmNodTgxdWJi","1307700010018006",20.093458,-98.36302,"130770001022A002",20.09526,-98.364179,"2023-12-13T21:11:24",244,22.65
"Y2JmZnNpdTFpcGl0dDphcGZxdGhpN2M3NDA5","1304800012332013",20.096548,-98.741062,"1304800012328010",20.095689,-98.744581,"2023-12-04T22:27:12",369,6.89
"ZXQwdWo5cHBkcjNkZzpmZTd1YjNocm9vY2Z0","1304800010745006",20.101826,-98.773162,"1304800010764045",20.10556,-98.777711,"2023-12-25T04:18:25",633,4.74
"NTNrbjVhMHJhdHB2aToxcHNtOXV0bW04djly","13055003A",20.343783,-98.930748,"13055003A",20.338676,-98.928988,"2023-12-01T22:39:40",757,142.73
"ZnJ2OXJyZHVzNjBsMzpkY3FiMmJydTdxc285","1304800012120044",20.131223,-98.77166,"1304800012667016",20.133541,-98.768356,"2023-12-06T05:42:04",731,11.82
"Zm1hbmQyZ3ZhNTl1dDphY2ZlOWViazJrbmhi","1302900010114040",20.385025,-99.654772,"1302900010114057",20.381377,-99.656532,"2023-12-05T21:28:42",514,34.6
"M2owY3M5bGdjNjFpOjZwb3JmMmJmYmRnM3M=","1301300060114028",19.979947,-99.248879,"1301300060114028",19.979861,-99.248836,"2023-12-12T22:37:16",781,13.36
"OHUwaGdvbTFqNHJpbDoyYzRsNWhkNHVidHNx","1302900110010015",20.43927,-99.584949,"1302900110010031",20.440471,-99.58791,"2023-12-12T22:24:44",311,119.05
"ZXI2NmdsNGMzbnQzazplYTlrdjQ5aWJzMDV0","1302800010263006",21.136215,-98.411901,"1302800010329039",21.133254,-98.412287,"2023-12-04T22:51:01",518,69.7
"OTBxYXY5ZWt1cDM1MTpjZXFhYmI5ZG82aTdn","1307700680944028",20.146673,-98.340318,"1307700680944002",20.144699,-98.337786,"2023-12-25T22:20:24",342,22.97
"YmZ1Y2N2a2hicHBsdjo0YnMxNnJ1cW45ZDA1","1304800010285039",20.129464,-98.744237,"1304800010054021",20.129292,-98.74222,"2023-12-18T21:29:01",314,10.09
