"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trend_time","trip_duration_sec","travel_mode","trend_wknd_week","trip_scaled_ratio"
"cnZhaHBvaG45cGI2OjE4YXNsb29jZzAzbDY=","1305100631255042",20.081313,-98.729689,"1304800010247001",20.115774,-98.73544,"2023-12-31T15:04:05","afternoon",410,"driving","weekend",9.68
"YW5kaGJtbjFxMG91azpldDZvNDF1NGwydDhv","1300900050111020",20.242932,-98.931992,"130090018",20.238941,-98.929417,"2023-12-07T17:22:15","evening",504,"walking","weekday",26.21
"NTVnNmV2aTc3b3FjOjk5azNncHFnZ29la2k=","130120001",20.2828,-98.662741,"130120001",20.283959,-98.663685,"2023-12-13T19:28:55","evening",151,"walking","weekday",1
"Y2pkczIwdmhidXRwdTpia2pxNHIwcDQxbDQ2","1307700010520025",20.071313,-98.374178,"1307700011177005",20.068696,-98.383834,"2023-12-14T16:01:16","afternoon",256,"driving","weekday",2.94
"Y2szYnJyNDNzNjM2bzo1ZDF1bzk1am04bjBv","1306900010162004",19.84575,-98.974478,"1306900420622005",19.880469,-98.936369,"2023-10-27T07:00:50","morning",540,"driving","weekday",25.58
"YjFpbmxqaGNwdHBjdjo5Zzk0aG5yN2lxbWY2","130480001011A048",20.125129,-98.748829,"130520023",20.140235,-98.816893,"2023-10-22T13:36:52","afternoon",757,"driving","weekend",10.9
"Zmd2YmVnaTZ1c2s5cTozYmRiaXZkZ25rOHJx","1305100010153001",20.074661,-98.707631,"1305100270967008",20.052259,-98.721406,"2023-12-25T18:46:32","evening",397,"driving","weekday",13.35
"Y3Vpc3YxcWdhOWZjbzoyZHVuMnJqZjRydW4x","1308301330392009",20.025566,-98.787367,"130830133034A016",20.015781,-98.789041,"2023-10-01T17:11:23","evening",200,"driving","weekend",15.87
"NjdrNGRpOG1vaHZpaDo4bWo2NjRnMzRnNDR0","1303000010346008",20.486519,-99.210985,"1303000010350003",20.485532,-99.205363,"2023-12-28T18:58:22","evening",171,"driving","weekday",29.15
"MW1ycnJ1cjgxcXZ2azo5cjMwZTRvcHMxc3Bw","1304100010176001",20.23525,-99.205148,"1304100010176001",20.235379,-99.205148,"2023-10-19T08:34:32","morning",19,"walking","weekday",1
